Year,Date,Block,Paddock,Plot,Location,Weight (g),QC,QC,GrazingTrt2019,GrazingTrt2020,GrazingTrt2021,g/m2,kg/ha,CLIPPED AREA,,Moderate,Heavy
2020,7/27/2020,3,2,45,45NE,4.37,weight pasted from bag wts tab,FALSE,,H,M,43.7,437,20x50cm,,,
2020,7/27/2020,3,2,46,46NE,2.8,weight pasted from bag wts tab,FALSE,,H,M,28,280,20x50cm,,,
2020,7/27/2020,3,2,47,47NE,2.25,weight pasted from bag wts tab,FALSE,,H,M,22.5,225,20x50cm,,,
2020,7/27/2020,3,2,48,48NE,2.3,weight pasted from bag wts tab,FALSE,,H,M,23,230,20x50cm,,,
2020,7/27/2020,3,1,49,49NE,4.49,weight pasted from bag wts tab,FALSE,,M,M,44.9,449,20x50cm,,,
2020,7/27/2020,3,1,50,50NE,3.1,weight pasted from bag wts tab,FALSE,,M,M,31,310,20x50cm,,,
2020,7/27/2020,3,1,51,51NE,2.94,weight pasted from bag wts tab,FALSE,,M,M,29.4,294,20x50cm,,,
2020,7/27/2020,3,1,52,52NE,10.92,weight pasted from bag wts tab,FALSE,,M,M,109.2,1092,20x50cm,,,
2020,7/27/2020,3,1,53,53NE,8.58,weight pasted from bag wts tab,FALSE,,M,M,85.8,858,20x50cm,,,
2020,7/27/2020,3,1,54,54NE,3.05,weight pasted from bag wts tab,FALSE,,M,M,30.5,305,20x50cm,,,
2021,7/27/2021,1,2,1,1NE,2.75,weight pasted from bag wts tab,FALSE,,H,M,27.5,275,20x50cm,,,
2021,7/27/2021,1,2,2,2NE,5.16,weight pasted from bag wts tab,FALSE,,H,M,51.6,516,20x50cm,,,
2021,7/27/2021,1,2,3,3NE,4.97,weight pasted from bag wts tab,FALSE,,H,M,49.7,497,20x50cm,,,
2021,7/27/2021,1,2,4,4NE,12.71,weight pasted from bag wts tab,FALSE,,H,M,127.1,1271,20x50cm,,,
2021,7/27/2021,1,2,5,5NE,13.02,weight pasted from bag wts tab,FALSE,,H,M,130.2,1302,20x50cm,,,
2021,7/27/2021,1,2,6,6NE,8.47,weight pasted from bag wts tab,FALSE,,H,M,84.7,847,20x50cm,,,
2021,7/27/2021,1,3,7,7NE,4.21,weight pasted from bag wts tab,FALSE,,L,L,42.1,421,20x50cm,,,
2021,7/27/2021,1,3,8,8NE,5.26,weight pasted from bag wts tab,FALSE,,L,L,52.6,526,20x50cm,,,
2021,7/27/2021,1,3,9,9NE,5.76,weight pasted from bag wts tab,FALSE,,L,L,57.6,576,20x50cm,,,
2021,7/27/2021,1,3,10,10NE,6.44,weight pasted from bag wts tab,FALSE,,L,L,64.4,644,20x50cm,,,
2021,7/27/2021,1,3,11,11NE,4.39,weight pasted from bag wts tab,FALSE,,L,L,43.9,439,20x50cm,,,
2021,7/27/2021,1,3,12,12NE,4,weight pasted from bag wts tab,FALSE,,L,L,40,400,20x50cm,,,
2021,7/27/2021,1,1,13,13NE,6.87,weight pasted from bag wts tab,FALSE,,M,M,68.7,687,20x50cm,,,
2021,7/27/2021,1,1,14,14NE,4.45,weight pasted from bag wts tab,FALSE,,M,M,44.5,445,20x50cm,,,
2021,7/27/2021,1,1,15,15NE,5.57,weight pasted from bag wts tab,FALSE,,M,M,55.7,557,20x50cm,,,
2021,7/27/2021,1,1,16,16NE,4.21,weight pasted from bag wts tab,FALSE,,M,M,42.1,421,20x50cm,,,
2021,7/27/2021,1,1,17,17NE,3.63,weight pasted from bag wts tab,FALSE,,M,M,36.3,363,20x50cm,,,
2021,7/27/2021,1,1,18,18NE,4.05,weight pasted from bag wts tab,FALSE,,M,M,40.5,405,20x50cm,,,
2021,7/27/2021,2,2,19,19NE,2.63,weight pasted from bag wts tab,FALSE,,H,M,26.3,263,20x50cm,,,
2021,7/27/2021,2,2,20,20NE,4.27,weight pasted from bag wts tab,FALSE,,H,M,42.7,427,20x50cm,,,
2021,7/27/2021,2,2,21,21NE,4.01,weight pasted from bag wts tab,FALSE,,H,M,40.1,401,20x50cm,,,
2021,7/27/2021,2,2,22,22NE,6.46,weight pasted from bag wts tab,FALSE,,H,M,64.6,646,20x50cm,,,
2021,7/27/2021,2,2,23,23NE,3.18,weight pasted from bag wts tab,FALSE,,H,M,31.8,318,20x50cm,,,
2021,7/27/2021,2,2,24,24NE,3.41,weight pasted from bag wts tab,FALSE,,H,M,34.1,341,20x50cm,,,
2021,7/27/2021,2,1,25,25NE,3.74,weight pasted from bag wts tab,FALSE,,M,M,37.4,374,20x50cm,,,
2021,7/27/2021,2,1,26,26NE,3.28,weight pasted from bag wts tab,FALSE,,M,M,32.8,328,20x50cm,,,
2021,7/27/2021,2,1,27,27NE,4.01,weight pasted from bag wts tab,FALSE,,M,M,40.1,401,20x50cm,,,
2021,7/27/2021,2,1,28,28NE,2.53,weight pasted from bag wts tab,FALSE,,M,M,25.3,253,20x50cm,,,
2021,7/27/2021,2,1,29,29NE,6.97,weight pasted from bag wts tab,FALSE,,M,M,69.7,697,20x50cm,,,
2021,7/27/2021,2,1,30,30NE,3.86,weight pasted from bag wts tab,FALSE,,M,M,38.6,386,20x50cm,,,
2021,7/27/2021,2,3,31,31NE,4.53,weight pasted from bag wts tab,FALSE,,L,L,45.3,453,20x50cm,,,
2021,7/27/2021,2,3,32,32NE,2.9,weight pasted from bag wts tab,FALSE,,L,L,29,290,20x50cm,,,
2021,7/27/2021,2,3,33,33NE,4.36,weight pasted from bag wts tab,FALSE,,L,L,43.6,436,20x50cm,,,
2021,7/27/2021,2,3,34,34NE,3.18,weight pasted from bag wts tab,FALSE,,L,L,31.8,318,20x50cm,,,
2021,7/27/2021,2,3,35,35NE,6.09,weight pasted from bag wts tab,FALSE,,L,L,60.9,609,20x50cm,,,
2021,7/27/2021,2,3,36,36NE,5.05,weight pasted from bag wts tab,FALSE,,L,L,50.5,505,20x50cm,,,
2021,7/27/2021,3,3,37,37NE,5.64,weight pasted from bag wts tab,FALSE,,L,L,56.4,564,20x50cm,,,
2021,7/27/2021,3,3,38,38NE,6.15,weight pasted from bag wts tab,FALSE,,L,L,61.5,615,20x50cm,,,
2021,7/27/2021,3,3,39,39NE,6.86,weight pasted from bag wts tab,FALSE,,L,L,68.6,686,20x50cm,,,
2021,7/27/2021,3,3,40,40NE,7.2,weight pasted from bag wts tab,FALSE,,L,L,72,720,20x50cm,,,
2021,7/27/2021,3,3,41,41NE,5.24,weight pasted from bag wts tab,FALSE,,L,L,52.4,524,20x50cm,,,
2021,7/27/2021,3,3,42,42NE,7.7,weight pasted from bag wts tab,FALSE,,L,L,77,770,20x50cm,,,
2021,7/27/2021,3,2,43,43NE,7.99,weight pasted from bag wts tab,FALSE,,H,M,79.9,799,20x50cm,,,
2021,7/27/2021,3,2,44,44NE,4.61,weight pasted from bag wts tab,FALSE,,H,M,46.1,461,20x50cm,,,
2021,7/27/2021,3,2,45,45NE,4.43,weight pasted from bag wts tab,FALSE,,H,M,44.3,443,20x50cm,,,
2021,7/27/2021,3,2,46,46NE,5.76,weight pasted from bag wts tab,FALSE,,H,M,57.6,576,20x50cm,,,
2021,7/27/2021,3,2,47,47NE,5.05,weight pasted from bag wts tab,FALSE,,H,M,50.5,505,20x50cm,,,
2021,7/27/2021,3,2,48,48NE,3.11,weight pasted from bag wts tab,FALSE,,H,M,31.1,311,20x50cm,,,
2021,7/27/2021,3,1,49,49NE,6.23,weight pasted from bag wts tab,FALSE,,M,M,62.3,623,20x50cm,,,
2021,7/27/2021,3,1,50,50NE,2.86,weight pasted from bag wts tab,FALSE,,M,M,28.6,286,20x50cm,,,
2021,7/27/2021,3,1,51,51NE,6.67,weight pasted from bag wts tab,FALSE,,M,M,66.7,667,20x50cm,,,
2021,7/27/2021,3,1,52,52NE,3.55,weight pasted from bag wts tab,FALSE,,M,M,35.5,355,20x50cm,,,
2021,7/27/2021,3,1,53,53NE,6.89,weight pasted from bag wts tab,FALSE,,M,M,68.9,689,20x50cm,,,
2021,7/27/2021,3,1,54,54NE,5.54,weight pasted from bag wts tab,FALSE,,M,M,55.4,554,20x50cm,,,
