Site,Exclosure,Disturbance,Plot Name,Date,FG,index,Year,Total_Hits_FG,project,Total Hits,Total_Weight_FG,hits,weight
clayey,,,2.0,2017-07-13,Subshrub,5,2017,19,PVSAGE,19,85.26,,
clayey,,,2.0,2017-07-13,Total,5,2017,19,PVSAGE,19,85.26,19.0,85.26
clayey,,,2.0,2017-07-13,VUOC,5,2017,19,PVSAGE,19,85.26,0.0,0.02
clayey,,,2.0,2018-07-24,AnnGrass,6,2018,42,PVSAGE,42,126.60000000000001,12.0,20.2
clayey,,,2.0,2018-07-24,Brome,6,2018,42,PVSAGE,42,126.60000000000001,9.0,14.5
clayey,,,2.0,2018-07-24,C3,6,2018,42,PVSAGE,42,126.60000000000001,15.0,71.1
clayey,,,2.0,2018-07-24,C4,6,2018,42,PVSAGE,42,126.60000000000001,11.0,22.4
clayey,,,2.0,2018-07-24,Forb,6,2018,42,PVSAGE,42,126.60000000000001,4.0,4.4
clayey,,,2.0,2018-07-24,SD,6,2018,42,PVSAGE,42,126.60000000000001,0.0,8.5
clayey,,,2.0,2018-07-24,Subshrub,6,2018,42,PVSAGE,42,126.60000000000001,,
clayey,,,2.0,2018-07-24,Total,6,2018,42,PVSAGE,42,126.60000000000001,42.0,126.6
clayey,,,2.0,2018-07-24,VUOC,6,2018,42,PVSAGE,42,126.60000000000001,3.0,5.7
clayey,,,2.0,2019-07-23,AnnGrass,7,2019,36,PVSAGE,36,180.2,15.0,16.8
clayey,,,2.0,2019-07-23,Brome,7,2019,36,PVSAGE,36,180.2,1.0,2.5
clayey,,,2.0,2019-07-23,C3,7,2019,36,PVSAGE,36,180.2,10.0,78.0
clayey,,,2.0,2019-07-23,C4,7,2019,36,PVSAGE,36,180.2,4.0,25.3
clayey,,,2.0,2019-07-23,Forb,7,2019,36,PVSAGE,36,180.2,5.0,57.4
clayey,,,2.0,2019-07-23,SD,7,2019,36,PVSAGE,36,180.2,2.0,2.7
clayey,,,2.0,2019-07-23,Subshrub,7,2019,36,PVSAGE,36,180.2,,
clayey,,,2.0,2019-07-23,Total,7,2019,36,PVSAGE,36,180.2,36.0,180.2
clayey,,,2.0,2019-07-23,VUOC,7,2019,36,PVSAGE,36,180.2,14.0,14.3
clayey,,,2.0,2020-07-27,AnnGrass,8,2020,35,PVSAGE,35,65.52000000000001,4.0,3.8
clayey,,,2.0,2020-07-27,Brome,8,2020,35,PVSAGE,35,65.52000000000001,4.0,3.16
clayey,,,2.0,2020-07-27,C3,8,2020,35,PVSAGE,35,65.52000000000001,15.0,12.54
clayey,,,2.0,2020-07-27,C4,8,2020,35,PVSAGE,35,65.52000000000001,10.0,8.98
clayey,,,2.0,2020-07-27,Forb,8,2020,35,PVSAGE,35,65.52000000000001,0.0,0.0
clayey,,,2.0,2020-07-27,SD,8,2020,35,PVSAGE,35,65.52000000000001,6.0,40.2
clayey,,,2.0,2020-07-27,Subshrub,8,2020,35,PVSAGE,35,65.52000000000001,,
clayey,,,2.0,2020-07-27,Total,8,2020,35,PVSAGE,35,65.52000000000001,35.0,65.52000000000001
clayey,,,2.0,2020-07-27,VUOC,8,2020,35,PVSAGE,35,65.52000000000001,0.0,0.64
clayey,,,2.0,2021-07-26,AnnGrass,9,2021,11,PVSAGE,13,43.8512,4.0,1.5386000000000002
clayey,,,2.0,2021-07-26,Brome,9,2021,11,PVSAGE,13,43.8512,1.0,1.34
clayey,,,2.0,2021-07-26,C3,9,2021,11,PVSAGE,13,43.8512,3.0,35.56
clayey,,,2.0,2021-07-26,C4,9,2021,11,PVSAGE,13,43.8512,4.0,5.44
clayey,,,2.0,2021-07-26,Forb,9,2021,11,PVSAGE,13,43.8512,0.0,0.0012
clayey,,,2.0,2021-07-26,SD,9,2021,11,PVSAGE,13,43.8512,0.0,1.3114
clayey,,,2.0,2021-07-26,Subshrub,9,2021,11,PVSAGE,13,43.8512,,
clayey,,,2.0,2021-07-26,Total,9,2021,11,PVSAGE,13,43.8512,11.0,43.8512
clayey,,,2.0,2021-07-26,VUOC,9,2021,11,PVSAGE,13,43.8512,3.0,0.1986
clayey,,,3.0,2017-07-13,AnnGrass,10,2017,11,PVSAGE,11,61.42,0.0,0.5
clayey,,,3.0,2017-07-13,Brome,10,2017,11,PVSAGE,11,61.42,0.0,0.1
clayey,,,3.0,2017-07-13,C3,10,2017,11,PVSAGE,11,61.42,9.0,39.56
clayey,,,3.0,2017-07-13,C4,10,2017,11,PVSAGE,11,61.42,2.0,18.48
clayey,,,3.0,2017-07-13,Forb,10,2017,11,PVSAGE,11,61.42,0.0,0.04
clayey,,,3.0,2017-07-13,SD,10,2017,11,PVSAGE,11,61.42,0.0,2.84
clayey,,,3.0,2017-07-13,Subshrub,10,2017,11,PVSAGE,11,61.42,,
clayey,,,3.0,2017-07-13,Total,10,2017,11,PVSAGE,11,61.42,11.0,61.42
clayey,,,3.0,2017-07-13,VUOC,10,2017,11,PVSAGE,11,61.42,0.0,0.4
clayey,,,3.0,2018-07-24,AnnGrass,11,2018,34,PVSAGE,34,95.80279999999999,0.0,5.6028
clayey,,,3.0,2018-07-24,Brome,11,2018,34,PVSAGE,34,95.80279999999999,0.0,4.3
clayey,,,3.0,2018-07-24,C3,11,2018,34,PVSAGE,34,95.80279999999999,10.0,33.1
clayey,,,3.0,2018-07-24,C4,11,2018,34,PVSAGE,34,95.80279999999999,11.0,32.4
clayey,,,3.0,2018-07-24,Forb,11,2018,34,PVSAGE,34,95.80279999999999,13.0,23.1
clayey,,,3.0,2018-07-24,SD,11,2018,34,PVSAGE,34,95.80279999999999,0.0,1.6
clayey,,,3.0,2018-07-24,Subshrub,11,2018,34,PVSAGE,34,95.80279999999999,,
clayey,,,3.0,2018-07-24,Total,11,2018,34,PVSAGE,34,95.80279999999999,34.0,95.8028
clayey,,,3.0,2018-07-24,VUOC,11,2018,34,PVSAGE,34,95.80279999999999,0.0,1.3028
clayey,,,3.0,2019-07-23,AnnGrass,12,2019,31,PVSAGE,31,176.20000000000002,17.0,27.0
clayey,,,3.0,2019-07-23,Brome,12,2019,31,PVSAGE,31,176.20000000000002,7.0,20.5
clayey,,,3.0,2019-07-23,C3,12,2019,31,PVSAGE,31,176.20000000000002,3.0,68.4
clayey,,,3.0,2019-07-23,C4,12,2019,31,PVSAGE,31,176.20000000000002,5.0,33.3
clayey,,,3.0,2019-07-23,Forb,12,2019,31,PVSAGE,31,176.20000000000002,3.0,42.7
clayey,,,3.0,2019-07-23,SD,12,2019,31,PVSAGE,31,176.20000000000002,3.0,4.8
clayey,,,3.0,2019-07-23,Subshrub,12,2019,31,PVSAGE,31,176.20000000000002,,
clayey,,,3.0,2019-07-23,Total,12,2019,31,PVSAGE,31,176.20000000000002,31.0,176.20000000000002
clayey,,,3.0,2019-07-23,VUOC,12,2019,31,PVSAGE,31,176.20000000000002,10.0,6.5
clayey,,,3.0,2020-07-27,AnnGrass,13,2020,42,PVSAGE,50,60.949000000000005,12.0,4.18
clayey,,,3.0,2020-07-27,Brome,13,2020,42,PVSAGE,50,60.949000000000005,12.0,3.58
clayey,,,3.0,2020-07-27,C3,13,2020,42,PVSAGE,50,60.949000000000005,7.0,18.76
clayey,,,3.0,2020-07-27,C4,13,2020,42,PVSAGE,50,60.949000000000005,7.0,2.64
clayey,,,3.0,2020-07-27,Forb,13,2020,42,PVSAGE,50,60.949000000000005,0.0,0.009
clayey,,,3.0,2020-07-27,SD,13,2020,42,PVSAGE,50,60.949000000000005,16.0,35.36
clayey,,,3.0,2020-07-27,Subshrub,13,2020,42,PVSAGE,50,60.949000000000005,,
clayey,,,3.0,2020-07-27,Total,13,2020,42,PVSAGE,50,60.949000000000005,42.0,60.949000000000005
clayey,,,3.0,2020-07-27,VUOC,13,2020,42,PVSAGE,50,60.949000000000005,0.0,0.6
clayey,,,3.0,2021-07-26,AnnGrass,14,2021,11,PVSAGE,11,34.247800000000005,1.0,0.68
clayey,,,3.0,2021-07-26,Brome,14,2021,11,PVSAGE,11,34.247800000000005,1.0,0.68
clayey,,,3.0,2021-07-26,C3,14,2021,11,PVSAGE,11,34.247800000000005,5.0,29.44
clayey,,,3.0,2021-07-26,C4,14,2021,11,PVSAGE,11,34.247800000000005,5.0,3.4
clayey,,,3.0,2021-07-26,Forb,14,2021,11,PVSAGE,11,34.247800000000005,0.0,0.0078
clayey,,,3.0,2021-07-26,SD,14,2021,11,PVSAGE,11,34.247800000000005,0.0,0.72
clayey,,,3.0,2021-07-26,Subshrub,14,2021,11,PVSAGE,11,34.247800000000005,,
clayey,,,3.0,2021-07-26,Total,14,2021,11,PVSAGE,11,34.247800000000005,11.0,34.247800000000005
clayey,,,3.0,2021-07-26,VUOC,14,2021,11,PVSAGE,11,34.247800000000005,0.0,0.0
clayey,,,4.0,2017-07-13,AnnGrass,15,2017,28,PVSAGE,28,63.76,0.0,0.94
clayey,,,4.0,2017-07-13,Brome,15,2017,28,PVSAGE,28,63.76,0.0,0.8
clayey,,,4.0,2017-07-13,C3,15,2017,28,PVSAGE,28,63.76,4.0,17.26
clayey,,,4.0,2017-07-13,C4,15,2017,28,PVSAGE,28,63.76,24.0,21.12
clayey,,,4.0,2017-07-13,Forb,15,2017,28,PVSAGE,28,63.76,0.0,22.32
clayey,,,4.0,2017-07-13,SD,15,2017,28,PVSAGE,28,63.76,0.0,2.12
clayey,,,4.0,2017-07-13,Subshrub,15,2017,28,PVSAGE,28,63.76,,
clayey,,,4.0,2017-07-13,Total,15,2017,28,PVSAGE,28,63.76,28.0,63.760000000000005
clayey,,,4.0,2017-07-13,VUOC,15,2017,28,PVSAGE,28,63.76,0.0,0.14
clayey,,,4.0,2018-07-24,AnnGrass,16,2018,33,PVSAGE,51,126.30000000000001,11.0,19.4
clayey,,,4.0,2018-07-24,Brome,16,2018,33,PVSAGE,51,126.30000000000001,11.0,19.0
clayey,,,4.0,2018-07-24,C3,16,2018,33,PVSAGE,51,126.30000000000001,21.0,74.5
clayey,,,4.0,2018-07-24,C4,16,2018,33,PVSAGE,51,126.30000000000001,1.0,16.3
clayey,,,4.0,2018-07-24,Forb,16,2018,33,PVSAGE,51,126.30000000000001,0.0,1.2
clayey,,,4.0,2018-07-24,SD,16,2018,33,PVSAGE,51,126.30000000000001,0.0,14.9
clayey,,,4.0,2018-07-24,Subshrub,16,2018,33,PVSAGE,51,126.30000000000001,,
clayey,,,4.0,2018-07-24,Total,16,2018,33,PVSAGE,51,126.30000000000001,33.0,126.3
clayey,,,4.0,2018-07-24,VUOC,16,2018,33,PVSAGE,51,126.30000000000001,0.0,0.4
clayey,,,4.0,2019-07-23,AnnGrass,17,2019,31,PVSAGE,31,161.9,14.0,32.4
clayey,,,4.0,2019-07-23,Brome,17,2019,31,PVSAGE,31,161.9,8.0,20.3
clayey,,,4.0,2019-07-23,C3,17,2019,31,PVSAGE,31,161.9,8.0,69.7
clayey,,,4.0,2019-07-23,C4,17,2019,31,PVSAGE,31,161.9,2.0,26.5
clayey,,,4.0,2019-07-23,Forb,17,2019,31,PVSAGE,31,161.9,6.0,24.8
clayey,,,4.0,2019-07-23,SD,17,2019,31,PVSAGE,31,161.9,1.0,8.5
clayey,,,4.0,2019-07-23,Subshrub,17,2019,31,PVSAGE,31,161.9,,
clayey,,,4.0,2019-07-23,Total,17,2019,31,PVSAGE,31,161.9,31.0,161.9
clayey,,,4.0,2019-07-23,VUOC,17,2019,31,PVSAGE,31,161.9,6.0,12.1
clayey,,,4.0,2020-07-29,AnnGrass,18,2020,15,PVSAGE,16,88.47999999999999,5.0,8.280000000000001
clayey,,,4.0,2020-07-29,Brome,18,2020,15,PVSAGE,16,88.47999999999999,4.0,6.48
clayey,,,4.0,2020-07-29,C3,18,2020,15,PVSAGE,16,88.47999999999999,6.0,14.44
clayey,,,4.0,2020-07-29,C4,18,2020,15,PVSAGE,16,88.47999999999999,0.0,12.18
clayey,,,4.0,2020-07-29,Forb,18,2020,15,PVSAGE,16,88.47999999999999,0.0,0.0
clayey,,,4.0,2020-07-29,SD,18,2020,15,PVSAGE,16,88.47999999999999,4.0,53.58
clayey,,,4.0,2020-07-29,Subshrub,18,2020,15,PVSAGE,16,88.47999999999999,,
clayey,,,4.0,2020-07-29,Total,18,2020,15,PVSAGE,16,88.47999999999999,15.0,88.47999999999999
clayey,,,4.0,2020-07-29,VUOC,18,2020,15,PVSAGE,16,88.47999999999999,1.0,1.8
clayey,,,4.0,2021-07-26,AnnGrass,19,2021,20,PVSAGE,20,28.891000000000002,5.0,5.895
clayey,,,4.0,2021-07-26,Brome,19,2021,20,PVSAGE,20,28.891000000000002,3.0,5.64
clayey,,,4.0,2021-07-26,C3,19,2021,20,PVSAGE,20,28.891000000000002,6.0,15.98
clayey,,,4.0,2021-07-26,C4,19,2021,20,PVSAGE,20,28.891000000000002,9.0,5.98
clayey,,,4.0,2021-07-26,Forb,19,2021,20,PVSAGE,20,28.891000000000002,0.0,0.6434
clayey,,,4.0,2021-07-26,SD,19,2021,20,PVSAGE,20,28.891000000000002,0.0,0.3926
clayey,,,4.0,2021-07-26,Subshrub,19,2021,20,PVSAGE,20,28.891000000000002,,
clayey,,,4.0,2021-07-26,Total,19,2021,20,PVSAGE,20,28.891000000000002,20.0,28.891000000000005
clayey,,,4.0,2021-07-26,VUOC,19,2021,20,PVSAGE,20,28.891000000000002,2.0,0.255
clayey,,,5.0,2017-07-13,AnnGrass,20,2017,13,PVSAGE,29,95.96000000000001,4.0,11.68
clayey,,,5.0,2017-07-13,Brome,20,2017,13,PVSAGE,29,95.96000000000001,4.0,11.42
clayey,,,5.0,2017-07-13,C3,20,2017,13,PVSAGE,29,95.96000000000001,5.0,56.94
clayey,,,5.0,2017-07-13,C4,20,2017,13,PVSAGE,29,95.96000000000001,4.0,16.4
clayey,,,5.0,2017-07-13,Forb,20,2017,13,PVSAGE,29,95.96000000000001,0.0,5.38
clayey,,,5.0,2017-07-13,SD,20,2017,13,PVSAGE,29,95.96000000000001,0.0,5.56
clayey,,,5.0,2017-07-13,Subshrub,20,2017,13,PVSAGE,29,95.96000000000001,,
clayey,,,5.0,2017-07-13,Total,20,2017,13,PVSAGE,29,95.96000000000001,13.0,95.96
clayey,,,5.0,2017-07-13,VUOC,20,2017,13,PVSAGE,29,95.96000000000001,0.0,0.26
clayey,,,5.0,2018-07-24,AnnGrass,21,2018,19,PVSAGE,24,121.5,0.0,2.9
clayey,,,5.0,2018-07-24,Brome,21,2018,19,PVSAGE,24,121.5,0.0,1.0
clayey,,,5.0,2018-07-24,C3,21,2018,19,PVSAGE,24,121.5,13.0,49.6
clayey,,,5.0,2018-07-24,C4,21,2018,19,PVSAGE,24,121.5,6.0,44.5
clayey,,,5.0,2018-07-24,Forb,21,2018,19,PVSAGE,24,121.5,0.0,7.0
clayey,,,5.0,2018-07-24,SD,21,2018,19,PVSAGE,24,121.5,0.0,17.5
clayey,,,5.0,2018-07-24,Subshrub,21,2018,19,PVSAGE,24,121.5,,
clayey,,,5.0,2018-07-24,Total,21,2018,19,PVSAGE,24,121.5,19.0,121.5
clayey,,,5.0,2018-07-24,VUOC,21,2018,19,PVSAGE,24,121.5,0.0,1.9
clayey,,,5.0,2019-07-23,AnnGrass,22,2019,26,PVSAGE,29,181.70000000000005,9.0,23.3
clayey,,,5.0,2019-07-23,Brome,22,2019,26,PVSAGE,29,181.70000000000005,0.0,1.0
clayey,,,5.0,2019-07-23,C3,22,2019,26,PVSAGE,29,181.70000000000005,2.0,69.7
clayey,,,5.0,2019-07-23,C4,22,2019,26,PVSAGE,29,181.70000000000005,9.0,35.5
clayey,,,5.0,2019-07-23,Forb,22,2019,26,PVSAGE,29,181.70000000000005,5.0,44.900000000000006
clayey,,,5.0,2019-07-23,SD,22,2019,26,PVSAGE,29,181.70000000000005,1.0,8.3
clayey,,,5.0,2019-07-23,Subshrub,22,2019,26,PVSAGE,29,181.70000000000005,,
clayey,,,5.0,2019-07-23,Total,22,2019,26,PVSAGE,29,181.70000000000005,26.0,181.7
clayey,,,5.0,2019-07-23,VUOC,22,2019,26,PVSAGE,29,181.70000000000005,9.0,22.3
clayey,,,5.0,2020-07-29,AnnGrass,23,2020,25,PVSAGE,26,92.66,8.0,9.08
clayey,,,5.0,2020-07-29,Brome,23,2020,25,PVSAGE,26,92.66,8.0,7.36
clayey,,,5.0,2020-07-29,C3,23,2020,25,PVSAGE,26,92.66,5.0,35.82
clayey,,,5.0,2020-07-29,C4,23,2020,25,PVSAGE,26,92.66,3.0,3.6
clayey,,,5.0,2020-07-29,Forb,23,2020,25,PVSAGE,26,92.66,0.0,0.0
clayey,,,5.0,2020-07-29,SD,23,2020,25,PVSAGE,26,92.66,9.0,44.16
clayey,,,5.0,2020-07-29,Subshrub,23,2020,25,PVSAGE,26,92.66,,
clayey,,,5.0,2020-07-29,Total,23,2020,25,PVSAGE,26,92.66,25.0,92.66
clayey,,,5.0,2020-07-29,VUOC,23,2020,25,PVSAGE,26,92.66,0.0,1.72
clayey,,,5.0,2021-07-26,AnnGrass,24,2021,14,PVSAGE,22,45.7354,4.0,5.22
clayey,,,5.0,2021-07-26,Brome,24,2021,14,PVSAGE,22,45.7354,4.0,5.1
clayey,,,5.0,2021-07-26,C3,24,2021,14,PVSAGE,22,45.7354,7.0,24.34
clayey,,,5.0,2021-07-26,C4,24,2021,14,PVSAGE,22,45.7354,0.0,11.64
clayey,,,5.0,2021-07-26,Forb,24,2021,14,PVSAGE,22,45.7354,0.0,0.0154
clayey,,,5.0,2021-07-26,SD,24,2021,14,PVSAGE,22,45.7354,3.0,4.52
clayey,,,5.0,2021-07-26,Subshrub,24,2021,14,PVSAGE,22,45.7354,,
clayey,,,5.0,2021-07-26,Total,24,2021,14,PVSAGE,22,45.7354,14.0,45.7354
clayey,,,5.0,2021-07-26,VUOC,24,2021,14,PVSAGE,22,45.7354,0.0,0.12
clayey,,,6.0,2017-07-13,AnnGrass,25,2017,16,PVSAGE,16,52.24,0.0,0.18
clayey,,,6.0,2017-07-13,Brome,25,2017,16,PVSAGE,16,52.24,0.0,0.02
clayey,,,6.0,2017-07-13,C3,25,2017,16,PVSAGE,16,52.24,9.0,20.48
clayey,,,6.0,2017-07-13,C4,25,2017,16,PVSAGE,16,52.24,7.0,24.46
clayey,,,6.0,2017-07-13,Forb,25,2017,16,PVSAGE,16,52.24,0.0,6.78
clayey,,,6.0,2017-07-13,SD,25,2017,16,PVSAGE,16,52.24,0.0,0.34
clayey,,,6.0,2017-07-13,Subshrub,25,2017,16,PVSAGE,16,52.24,,
clayey,,,6.0,2017-07-13,Total,25,2017,16,PVSAGE,16,52.24,16.0,52.24
clayey,,,6.0,2017-07-13,VUOC,25,2017,16,PVSAGE,16,52.24,0.0,0.16
clayey,,,6.0,2018-07-24,AnnGrass,26,2018,50,PVSAGE,53,121.59999999999998,2.0,4.0
clayey,,,6.0,2018-07-24,Brome,26,2018,50,PVSAGE,53,121.59999999999998,0.0,1.4
clayey,,,6.0,2018-07-24,C3,26,2018,50,PVSAGE,53,121.59999999999998,45.0,88.6
clayey,,,6.0,2018-07-24,C4,26,2018,50,PVSAGE,53,121.59999999999998,3.0,12.1
clayey,,,6.0,2018-07-24,Forb,26,2018,50,PVSAGE,53,121.59999999999998,0.0,0.6
clayey,,,6.0,2018-07-24,SD,26,2018,50,PVSAGE,53,121.59999999999998,0.0,16.3
clayey,,,6.0,2018-07-24,Subshrub,26,2018,50,PVSAGE,53,121.59999999999998,,
clayey,,,6.0,2018-07-24,Total,26,2018,50,PVSAGE,53,121.59999999999998,50.0,121.59999999999998
clayey,,,6.0,2018-07-24,VUOC,26,2018,50,PVSAGE,53,121.59999999999998,2.0,2.6
clayey,,,6.0,2019-07-23,AnnGrass,27,2019,28,PVSAGE,28,173.50000000000003,5.0,12.7
clayey,,,6.0,2019-07-23,Brome,27,2019,28,PVSAGE,28,173.50000000000003,0.0,0.3
clayey,,,6.0,2019-07-23,C3,27,2019,28,PVSAGE,28,173.50000000000003,13.0,91.6
clayey,,,6.0,2019-07-23,C4,27,2019,28,PVSAGE,28,173.50000000000003,5.0,36.9
clayey,,,6.0,2019-07-23,Forb,27,2019,28,PVSAGE,28,173.50000000000003,5.0,28.8
clayey,,,6.0,2019-07-23,SD,27,2019,28,PVSAGE,28,173.50000000000003,0.0,3.5
clayey,,,6.0,2019-07-23,Subshrub,27,2019,28,PVSAGE,28,173.50000000000003,,
clayey,,,6.0,2019-07-23,Total,27,2019,28,PVSAGE,28,173.50000000000003,28.0,173.49999999999997
clayey,,,6.0,2019-07-23,VUOC,27,2019,28,PVSAGE,28,173.50000000000003,5.0,12.4
clayey,,,6.0,2020-07-29,AnnGrass,28,2020,10,PVSAGE,10,38.8788,4.0,5.739999999999999
clayey,,,6.0,2020-07-29,Brome,28,2020,10,PVSAGE,10,38.8788,4.0,5.68
clayey,,,6.0,2020-07-29,C3,28,2020,10,PVSAGE,10,38.8788,5.0,9.08
clayey,,,6.0,2020-07-29,C4,28,2020,10,PVSAGE,10,38.8788,0.0,2.32
clayey,,,6.0,2020-07-29,Forb,28,2020,10,PVSAGE,10,38.8788,0.0,0.0188
clayey,,,6.0,2020-07-29,SD,28,2020,10,PVSAGE,10,38.8788,1.0,21.72
clayey,,,6.0,2020-07-29,Subshrub,28,2020,10,PVSAGE,10,38.8788,,
clayey,,,6.0,2020-07-29,Total,28,2020,10,PVSAGE,10,38.8788,10.0,38.8788
clayey,,,6.0,2020-07-29,VUOC,28,2020,10,PVSAGE,10,38.8788,0.0,0.06
clayey,,,6.0,2021-07-26,AnnGrass,29,2021,43,PVSAGE,48,93.97999999999999,28.0,36.42
clayey,,,6.0,2021-07-26,Brome,29,2021,43,PVSAGE,48,93.97999999999999,28.0,36.18
clayey,,,6.0,2021-07-26,C3,29,2021,43,PVSAGE,48,93.97999999999999,9.0,33.02
clayey,,,6.0,2021-07-26,C4,29,2021,43,PVSAGE,48,93.97999999999999,4.0,17.86
clayey,,,6.0,2021-07-26,Forb,29,2021,43,PVSAGE,48,93.97999999999999,0.0,0.44
clayey,,,6.0,2021-07-26,SD,29,2021,43,PVSAGE,48,93.97999999999999,2.0,6.24
clayey,,,6.0,2021-07-26,Subshrub,29,2021,43,PVSAGE,48,93.97999999999999,,
clayey,,,6.0,2021-07-26,Total,29,2021,43,PVSAGE,48,93.97999999999999,43.0,93.98
clayey,,,6.0,2021-07-26,VUOC,29,2021,43,PVSAGE,48,93.97999999999999,0.0,0.24
clayey,,,7.0,2017-07-13,AnnGrass,30,2017,20,PVSAGE,20,64.96,1.0,7.1
