Year,Month,Date,Block,Paddock,Plot,Direction,Location,Rep Notes,Ht Hi original,Ht Lo original,Check,Same,Height Hi,Height Lo,Species Lo,Notes,Pole notes,,,,,,,,,,,
2019,6,28,1,1,,,1,2,32,6,,,33,7,BRAR,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,28,1,1,,,2,1,31,2,,,32,3,BROME,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,28,1,1,,,2,2,19,4,,,20,5,PASM,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,28,1,1,,,3,1,40,4,,,41,5,BROME,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,28,1,1,,,3,2,60,4,,,61,5,KOMA,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,28,1,2,,,1,1,37,14,,,38,15,KOMA,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,28,1,2,,,1,2,23,4,,,24,5,BOGR,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,28,1,2,,,2,,34,21,,,35,22,BRAR,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,28,1,2,,,3,,23,2,,,24,3,BOGR,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,28,1,3,,,1,1,42,3,,,43,4,PASM,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,28,1,3,,,1,2,33,5,,,34,6,KOMA,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,28,1,3,,,2,1,31,6,,,32,7,BROME,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,28,1,3,,,2,2,15,4,,,16,5,BRAR,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,28,1,3,,,3,1,23,4,,,24,5,BROME,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,28,1,3,,,3,2,30,2,,,31,3,BRAR,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,29,1,1,,,1,,24,7,,,25,8,BRAR,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,29,1,1,,,2,,26,4,,,27,5,BRAR,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,29,1,1,,,3,,34,3,,,35,4,KOMA,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,29,1,2,,,1,,22,3,,,23,4,PASM,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,29,1,2,,,2,,28,4,,,29,5,KOMA,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,29,1,2,,,3,,23,4,,,24,5,KOMA,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,29,1,3,,,1,,38,2,,,39,3,PASM,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,29,1,3,,,2,,24,4,,,25,5,BRAR,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,29,1,3,,,3,,15,4,,,16,5,BRAR,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,30,1,1,,,1,,40,5,,,41,6,BRAR,exit,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,30,1,1,,,2,,40,9,,,41,10,BRAR,exit,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,30,1,1,,,3,,20,2,,,21,3,BRAR,exit,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,30,1,2,,,1,,50,3,,,51,4,BOGR,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,30,1,2,,,2,,40,5,,,41,6,BRAR,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,30,1,2,,,3,,29,2,,,30,3,BOGR,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,30,1,2,,,4,,23,3,,,24,4,BRAR,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,30,1,2,,,5,,22,7,,,23,8,LOAR,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,30,1,2,,,6,,15,11,,,16,12,BRTE/PASM,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,30,1,3,,,1,,24,3,,,25,4,BRAR,exit,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,30,1,3,,,2,,31,4,,,32,5,POSE,exit,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,30,1,3,,,3,,8,3,,,9,4,BOGR,exit,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,30,2,1,,,1,1,19,6,,,20,7,KOMA,entry,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,30,2,1,,,1,2,30,5,,,31,6,KOMA,entry,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,30,2,1,,,2,1,28,4,,,29,5,PASM,entry,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,30,2,1,,,2,2,30,8,,,31,9,PSTE,entry,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,30,2,1,,,3,1,15,2,,,16,3,PASM,entry,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,30,2,1,,,3,2,15,2,,,16,3,BOGR,entry,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,30,2,2,,,1,1,30,8,,,31,9,POSE,entry,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,30,2,2,,,1,2,33,4,,,34,5,KOMA,entry,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,30,2,2,,,2,1,20,5,,,21,6,PASM,entry,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,30,2,2,,,2,2,20,2,,,21,3,KOMA,entry,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,30,2,2,,,3,1,36,5,,,37,6,KOMA,entry,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,30,2,2,,,3,2,35,5,,,36,6,KOMA,entry,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,30,2,3,,,1,1,19,4,,,20,5,PASM,entry,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,30,2,3,,,1,2,16,2,,,17,3,PASM,entry,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,30,2,3,,,2,1,28,5,,,29,6,KOMA,entry,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,30,2,3,,,2,2,12,4,,,13,5,LOAR,entry,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,30,2,3,,,3,1,32,3,,,33,4,BOGR,entry,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,6,30,2,3,,,3,2,32,7,,,33,8,KOMA,entry,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,1,1,2,,,1,1,11,1,,,12,2,BOGR,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,1,1,2,,,1,2,32,10,,,33,11,BRAR,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,1,1,2,,,2,1,30,6,,,31,7,PASM,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,1,1,2,,,2,2,16,4,,,17,5,BRAR,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,1,1,2,,,3,1,10,2,,,11,3,BOGR,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,1,1,2,,,3,2,6,2,,,7,3,BOGR,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,1,1,2,,,4,1,32,7,,,33,8,KOMA,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,1,1,2,,,4,2,25,6,,,26,7,PASM,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,1,1,2,,,5,1,27,4,,,28,5,CAFI/CADU,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,1,1,2,,,5,2,16,3,,,17,4,BRAR,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,1,1,2,,,6,1,24,5,,,25,6,BRAR,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,1,1,2,,,6,2,22,4,,,23,5,BOGR,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,1,2,1,,,1,,40,6,,,41,7,BOGR,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,1,2,1,,,2,,24,2,,,25,3,CAFI/CADU,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,1,2,1,,,3,,19,3,,,20,4,PASM,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,1,2,2,,,1,,23,4,,,24,5,BOGR,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,1,2,2,,,2,,40,5,,,41,6,KOMA,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,1,2,2,,,3,,22,3,,,23,4,VIAM,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,1,2,3,,,1,,14,5,,,15,6,KOMA,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,1,2,3,,,2,,8,2,,,9,3,BOGR,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,1,2,3,,,3,,24,2,,,25,3,BOGR,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,2,1,2,,,1,,27,4,,,28,5,.,exit,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,2,1,2,,,2,,27,6,,,28,7,.,exit,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,2,1,2,,,3,,8,2,,,9,3,.,exit,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,2,1,2,,,4,,14,4,,,15,5,.,exit,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,2,1,2,,,5,,22,3,,,23,4,BRAR,exit,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,2,1,2,,,6,,14,4,,,15,5,BRAR,exit,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,2,2,1,,,1,,24,8,,,25,9,PASM,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,2,2,1,,,2,,20,4,,,21,5,PASM,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,2,2,1,,,3,,14,3,,,15,4,BOGR,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,2,2,2,,,1,,22,3,,,23,4,PASM,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,2,2,2,,,2,,30,4,,,31,5,BOGR,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,2,2,2,,,3,,4,2,,,5,3,BOGR,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,2,2,3,,,1,,28,2,,,29,3,BOGR,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,2,2,3,,,2,,22,4,,,23,5,PASM,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,2,2,3,,,3,,30,4,,,31,5,BOGR,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,3,2,1,,,1,,7,3,,,8,4,BOGR,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,3,2,1,,,2,,15,3,,,16,4,BOGR,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,3,2,1,,,3,,9,2,,,10,3,BOGR,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,3,2,2,,,1,,16,5,,,17,6,BOGR,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,3,2,2,,,2,,12,3,,,13,4,BOGR,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,3,2,2,,,3,,17,2,,,18,3,PASM,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,3,2,3,,,1,,12,3,,,13,4,PLPA,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,3,2,3,,,2,,31,4,,,32,5,PASM,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,3,2,3,,,3,,8,2,,,9,3,BOGR,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,4,2,1,,,1,,27,1,,,28,2,CAFI/CADU,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,4,2,1,,,2,,20,2,,,21,3,BOGR,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,4,2,1,,,3,,20,2,,,21,3,CAFI/CADU,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,4,2,2,,,1,,27,12,,,28,13,PASM,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,4,2,2,,,2,,16,1,,,17,2,BOGR,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,4,2,2,,,3,,3,2,,,4,3,BOGR,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,4,2,3,,,1,,15,1,,,16,2,BOGR,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,4,2,3,,,2,,24,1,,,25,2,PLPA,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,4,2,3,,,3,,10,2,,,11,3,BOGR,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,6,2,2,,,1,,28,11,,,29,12,PASM,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,6,2,2,,,2,,11,2,,,12,3,BOGR,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,6,2,2,,,3,,20,1,,,21,2,BOGR,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,8,2,2,,,1,,15,3,,,16,4,LOAR,exit,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,8,2,2,,,2,,54,2,,,55,3,LOAR,exit,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,8,2,2,,,3,,21,2,,,22,3,PASM,exit,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,8,2,2,,,4,,29,3,,,30,4,BOGR,exit,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,8,2,2,,,5,,4,2,,,5,3,BOGR,exit,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,8,2,2,,,6,,5,1,,,6,2,BOGR,Exit,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,8,3,1,,,1,stake,20,4,,,21,5,PASM,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,8,3,1,,,2,stake,21,6,,,22,7,BRAR/PASM,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,8,3,1,,,3,stake,22,4,,,23,5,PASM,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,8,3,2,,,1,stake,22,8,,,23,9,KOMA/PASM,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,8,3,2,,,2,stake,26,6,,,27,7,KOMA/PASM,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,8,3,2,,,3,stake,76,10,,,77,11,KOMA/PASM,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,8,3,3,,,1,stake,23,6,,,24,7,BRAR/PASM,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,8,3,3,,,2,stake,32,7,,,33,8,BOGR,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,8,3,3,,,3,stake,30,5,,,31,6,PASM,,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,9,2,2,,,7,,12,1,,,13,2,BOGR/KOMA,exit,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,9,2,2,,,8,,26,0,,,27,1,KOMA/BOGR,exit,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,9,2,2,,,9,,18,1,,,19,2,KOMA/LOAR/PASM,exit,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,9,2,2,,,10,,16,3,,,17,4,KOMA/BOGR,exit,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
2019,7,9,2,2,,,11,,24,3,,,25,4,KOMA/BOGR,exit,"Robel pole started at -1cm so 1cm was added to both high and low values. Original values retained in columns labeled with ""original""",,,,,,,,,,,
