Site,Plot Name,Date,Total Hits,hits_C4,hits_C3,hits_AnnGrass,hits_Forb,hits_Brome,hits_VUOC,hits_SD,hits_Total,weight_Total,weight_C4,weight_C3,weight_Forb,weight_Brome,weight_VUOC,weight_AnnGrass,weight_SD,Year
loamy,1,2017-07-11,29,5,8,4,0,4,0,3,20,70.39999999999999,14.6,43.0,3.76,9.02,0.02,9.04,,2017
loamy,1,2018-07-24,60,4,3,29,0,29,0,0,36,129.20000000000002,13.2,37.7,4.1,60.6,0.3,60.9,13.3,2018
loamy,1,2019-07-23,21,2,12,5,2,5,0,0,21,95.5,39.8,34.7,6.2,14.6,0.2,14.799999999999999,0.0,2019
loamy,1,2020-07-23,25,1,11,1,0,1,0,12,25,73.7854,5.28,26.06,0.045399999999999996,10.6,0.1,10.7,31.7,2020
loamy,1,2021-07-26,22,9,5,6,1,6,0,1,22,81.78,23.52,17.96,12.520000000000001,17.9,1.2,19.099999999999998,8.68,2021
loamy,2,2017-07-11,23,5,17,1,0,1,0,0,23,77.7,23.66,47.2,0.46,6.34,0.04,6.38,,2017
loamy,2,2018-07-24,23,10,1,1,11,1,0,0,23,145.6,33.8,36.1,44.0,11.6,1.7,13.299999999999999,18.4,2018
loamy,2,2019-07-23,44,20,3,21,0,20,1,0,44,107.49999999999999,38.3,12.1,6.2,46.3,2.1,48.4,2.5,2019
loamy,2,2020-07-23,18,0,3,3,0,3,0,12,18,75.76,3.32,19.5,0.6,8.94,0.34,9.28,43.06,2020
loamy,2,2021-07-26,17,4,7,5,1,5,0,0,17,72.97999999999999,4.54,35.98,4.46,7.14,0.1,7.239999999999999,3.5,2021
loamy,3,2017-07-11,22,4,18,0,0,0,0,0,22,50.814600000000006,22.42,27.6,0.42,0.36,0.0146,0.3746,,2017
loamy,3,2018-07-24,32,4,3,9,15,7,2,0,31,92.4,21.2,32.3,10.0,21.0,1.2,22.2,6.7,2018
loamy,3,2019-07-23,22,8,4,7,3,7,0,0,22,138.98,40.48,69.4,2.7,13.8,2.5,16.3,10.1,2019
loamy,3,2020-07-27,13,6,1,3,0,3,0,3,13,105.3514,16.7,35.98,1.32,21.68,0.1114,21.7914,29.56,2020
loamy,3,2021-07-26,11,0,6,3,2,3,0,0,11,48.28,1.46,26.38,6.8,12.3,0.12,12.42,1.22,2021
loamy,4,2017-07-11,28,0,12,3,0,3,0,0,15,63.34,6.66,44.48,0.06,12.14,0.0,12.14,,2017
loamy,4,2018-07-24,47,6,40,1,0,1,0,0,47,158.1,33.3,86.9,4.0,20.5,0.0,20.5,13.4,2018
loamy,4,2019-07-23,19,4,6,6,3,5,1,0,19,132.89999999999998,16.6,84.7,5.6,25.3,0.7,26.0,0.0,2019
loamy,4,2020-07-27,23,3,1,10,0,10,0,9,23,99.8374,13.58,29.32,0.0774,31.38,,,27.48,2020
loamy,4,2021-07-26,14,3,7,3,1,3,0,0,14,39.080000000000005,2.18,24.94,0.98,10.04,0.0,10.04,0.94,2021
loamy,5,2017-07-11,24,8,16,0,0,0,0,0,24,68.28,23.64,35.26,3.72,5.66,0.0,5.66,,2017
loamy,5,2018-07-24,24,4,5,13,0,13,0,0,22,119.69999999999999,20.1,53.8,5.2,34.3,0.2,34.5,6.1,2018
loamy,5,2019-07-23,24,4,8,8,4,5,3,0,24,82.0,10.0,60.0,5.9,4.3,1.1,5.4,0.7,2019
loamy,5,2020-07-27,15,0,7,0,0,0,0,8,15,61.547799999999995,4.58,27.1,0.3678,3.24,0.38,3.62,25.88,2020
loamy,5,2021-07-26,15,3,8,2,2,2,0,0,15,31.66,2.0,21.24,2.26,5.28,0.0,5.28,0.88,2021
loamy,6,2017-07-11,22,5,15,2,0,2,0,0,22,46.576800000000006,12.14,31.86,1.02,1.54,0.0168,1.5568,,2017
loamy,6,2018-07-24,37,0,19,10,2,9,1,0,31,134.1,8.7,87.0,9.3,15.6,1.1,16.7,12.4,2018
loamy,6,2019-07-23,10,2,7,1,0,0,1,0,10,80.8,18.8,51.2,1.3,1.0,0.2,1.2,8.3,2019
loamy,6,2020-07-27,16,0,11,2,0,2,0,3,16,80.58,8.04,34.2,0.04,8.22,0.24,8.46,29.84,2020
loamy,6,2021-07-26,29,4,8,0,1,0,0,0,13,67.24,1.48,57.0,0.44,5.66,0.0,5.66,2.66,2021
loamy,7,2017-07-11,38,18,8,2,1,2,0,0,29,103.72,46.32,46.12,2.94,8.34,0.0,8.34,,2017
loamy,8,2017-07-11,15,0,6,0,0,0,0,0,6,57.699999999999996,12.9,39.96,0.08,4.76,0.0,4.76,,2017
loamy,9,2017-07-11,17,11,3,2,1,2,0,0,17,94.02000000000001,14.56,50.32,19.56,9.4,0.18,9.58,,2017
loamy,10,2017-07-11,28,6,22,0,0,0,0,0,28,165.56,16.0,145.86,1.68,1.7,0.32,2.02,,2017
loamy,11,2017-07-11,27,0,25,2,0,2,0,0,27,113.4,0.0,92.88,5.98,14.46,0.08,14.540000000000001,,2017
loamy,12,2017-07-11,14,0,4,9,0,9,0,0,13,80.58,2.66,66.86,2.04,9.0,0.02,9.02,,2017
