PRISM Time Series Data
Location:  Lat: 43.2929   Lon: -105.1229   Elev: 4783ft
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 1981-01-01 - 2022-09-01
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2023-Mar-14
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
1981-01-31,0.03,16.8,26.6,36.4,18.7,0.28,3.63
1981-02-01,0.00,5.6,15.0,24.4,12.6,0.24,1.32
1981-02-02,0.00,-3.9,5.8,15.5,1.4,0.26,1.12
1981-02-03,0.00,-2.0,13.7,29.3,6.3,0.37,2.82
1981-02-04,0.00,-1.3,14.7,30.7,8.3,0.07,2.96
1981-02-05,0.00,8.2,20.9,33.6,10.0,0.47,3.58
1981-02-06,0.00,10.5,21.9,33.3,11.2,0.56,3.46
1981-02-07,0.00,11.8,23.3,34.8,12.0,0.53,3.77
1981-02-08,0.00,-1.0,10.6,22.1,4.8,0.15,1.83
1981-02-09,0.00,4.2,16.5,28.7,8.6,0.22,2.32
1981-02-10,0.07,-16.0,-2.4,11.2,-2.4,0.16,0.70
1981-02-11,0.00,-15.0,-6.6,1.8,-18.3,0.28,0.87
1981-02-12,0.00,2.6,14.4,26.2,2.2,0.85,2.87
1981-02-13,0.00,13.7,28.8,43.8,17.0,0.87,5.95
1981-02-14,0.00,28.9,41.0,53.1,20.0,1.92,9.49
1981-02-15,0.00,32.8,44.5,56.2,21.1,2.76,11.04
1981-02-16,0.00,27.6,40.5,53.3,19.4,1.76,10.20
1981-02-17,0.00,33.6,46.0,58.5,23.7,2.53,12.32
1981-02-18,0.01,27.7,39.5,51.3,23.0,1.44,8.09
1981-02-19,0.00,30.8,41.8,52.7,20.7,2.29,9.48
1981-02-20,0.00,33.9,47.8,61.7,24.5,2.43,13.94
1981-02-21,0.00,28.2,38.2,48.3,20.8,1.17,6.95
1981-02-22,0.00,27.0,35.2,43.4,16.5,1.69,6.41
1981-02-23,0.00,23.3,36.0,48.8,17.2,1.59,8.31
1981-02-24,0.00,28.6,42.9,57.2,16.4,2.33,12.53
1981-02-25,0.00,27.0,44.5,62.1,14.6,2.12,16.07
1981-02-26,0.00,20.9,39.3,57.6,15.7,1.08,13.16
1981-02-27,0.00,27.4,40.4,53.5,23.0,1.23,9.51
1981-02-28,0.00,20.1,33.0,45.9,19.9,0.56,6.77
1981-03-01,0.00,17.4,32.5,47.5,19.6,0.39,7.38
1981-03-02,0.00,17.8,33.8,49.8,21.2,0.20,8.35
1981-03-03,0.00,20.5,35.8,51.1,25.5,0.29,8.16
1981-03-04,0.00,25.4,38.4,51.4,24.3,0.69,8.65
1981-03-05,0.00,18.3,35.0,51.8,16.2,0.91,10.16
1981-03-06,0.00,19.8,40.0,60.3,18.4,1.02,14.54
1981-03-07,0.00,19.7,31.3,42.9,21.1,0.41,5.41
1981-03-08,0.00,15.3,29.2,43.1,19.5,0.25,5.59
1981-03-09,0.00,17.8,35.1,52.3,19.4,0.59,9.80
1981-03-10,0.00,18.6,35.3,52.0,19.9,0.57,9.68
1981-03-11,0.00,18.5,35.0,51.5,19.4,0.37,9.31
1981-03-12,0.00,20.2,38.9,57.6,19.2,0.78,12.94
1981-03-13,0.00,17.5,37.0,56.5,15.4,0.66,12.76
1981-03-14,0.00,20.0,39.3,58.5,18.3,1.09,13.65
1981-03-15,0.00,25.3,43.0,60.6,18.2,1.50,14.81
1981-03-16,0.00,23.1,40.6,58.0,15.9,1.39,13.32
1981-03-17,0.19,30.9,47.6,64.4,18.7,2.20,17.19
1981-03-18,0.10,23.7,33.7,43.7,22.1,0.68,5.77
1981-03-19,0.00,23.2,32.9,42.6,22.2,0.58,5.10
1981-03-20,0.04,28.4,36.9,45.3,23.8,1.06,5.98
1981-03-21,0.25,27.7,40.4,53.2,27.2,0.54,8.70
1981-03-22,0.00,21.4,31.3,41.3,24.4,0.41,3.97
1981-03-23,0.00,24.1,39.9,55.7,25.2,0.74,10.77
1981-03-24,0.00,27.0,41.9,56.7,23.5,0.91,11.77
1981-03-25,0.00,23.5,39.1,54.7,24.9,0.42,10.43
1981-03-26,0.00,24.5,42.8,61.1,21.9,0.86,14.86
1981-03-27,0.04,31.9,46.9,61.9,26.0,1.20,14.83
1981-03-28,0.00,35.4,43.8,52.2,30.2,1.86,7.42
1981-03-29,0.00,28.4,37.8,47.3,26.0,0.62,6.20
1981-03-30,0.00,29.3,45.2,61.2,24.1,1.47,14.23
1981-03-31,0.05,29.8,42.2,54.6,19.7,1.81,10.39
1981-04-01,0.00,25.1,38.1,51.1,17.5,1.38,9.76
1981-04-02,0.00,29.3,48.0,66.6,17.5,2.15,19.59
1981-04-03,0.49,31.6,47.9,64.2,22.3,1.38,16.97
1981-04-04,0.00,27.6,33.9,40.2,25.1,0.87,3.76
1981-04-05,0.00,22.4,34.0,45.5,19.2,0.83,6.94
1981-04-06,0.00,25.3,41.4,57.4,20.3,1.44,12.32
1981-04-07,0.00,29.4,42.5,55.6,20.1,1.58,11.47
1981-04-08,0.00,28.1,38.0,47.8,23.6,0.76,7.22
1981-04-09,0.00,28.0,39.9,51.7,21.3,1.10,9.75
1981-04-10,0.00,31.5,50.5,69.5,25.2,1.76,20.18
1981-04-11,0.00,34.9,48.9,62.9,27.8,2.02,14.51
1981-04-12,0.00,34.9,50.9,66.9,29.8,1.11,17.61
1981-04-13,0.00,33.7,53.4,73.1,25.0,1.62,24.45
1981-04-14,0.00,29.2,40.4,51.7,23.3,1.60,8.62
1981-04-15,0.00,29.5,46.1,62.7,24.4,1.49,14.83
1981-04-16,0.00,37.3,55.0,72.6,30.1,2.24,21.68
1981-04-17,0.00,40.9,58.4,75.9,29.8,2.66,25.73
1981-04-18,0.00,38.0,54.6,71.1,29.9,2.30,20.48
1981-04-19,0.15,41.8,58.9,75.9,35.3,2.08,24.10
1981-04-20,0.35,37.6,46.5,55.4,37.1,0.71,6.99
1981-04-21,0.00,38.6,49.1,59.5,37.6,0.70,9.84
1981-04-22,0.06,36.6,49.3,62.1,33.9,1.12,12.76
1981-04-23,0.00,35.1,46.9,58.6,28.3,1.73,11.94
1981-04-24,0.00,37.0,53.4,69.7,32.0,1.72,18.78
1981-04-25,0.00,41.7,61.0,80.3,32.4,2.78,29.56
1981-04-26,0.00,44.0,61.6,79.2,34.6,3.57,27.49
1981-04-27,0.15,41.9,61.4,80.9,33.2,2.73,29.81
1981-04-28,0.00,39.5,53.6,67.6,36.8,1.10,16.46
1981-04-29,0.00,42.3,56.0,69.6,35.7,1.68,18.51
1981-04-30,0.00,46.5,56.7,66.9,36.9,3.38,15.40
1981-05-01,0.00,37.3,53.8,70.2,38.0,1.16,17.24
1981-05-02,0.00,45.6,63.3,81.1,38.4,3.01,28.74
1981-05-03,0.21,45.4,62.9,80.3,43.1,1.31,27.19
1981-05-04,0.66,35.2,43.2,51.3,38.5,0.74,4.22
1981-05-05,0.00,37.0,46.3,55.5,36.7,0.82,7.67
1981-05-06,0.00,41.0,53.2,65.3,40.2,1.07,13.10
1981-05-07,0.71,38.0,44.2,50.3,40.1,0.64,3.21
1981-05-08,0.03,30.8,44.0,57.2,30.1,0.80,11.18
1981-05-09,0.12,34.5,44.6,54.8,29.8,0.84,9.79
1981-05-10,0.00,30.0,42.0,54.0,30.6,0.75,8.59
1981-05-11,0.00,37.7,51.9,66.2,31.8,1.76,16.33
1981-05-12,0.08,32.3,44.9,57.5,32.4,0.70,10.45
1981-05-13,0.04,35.4,44.6,53.8,31.3,0.89,8.76
1981-05-14,0.00,30.6,41.5,52.5,33.1,0.19,7.26
1981-05-15,0.00,41.4,54.9,68.4,37.2,1.99,16.33
1981-05-16,0.08,46.5,59.5,72.5,40.8,1.49,19.21
1981-05-17,0.10,42.5,48.6,54.8,44.5,0.15,4.27
1981-05-18,0.06,40.5,44.7,48.9,41.5,0.73,2.37
1981-05-19,0.00,35.0,43.2,51.4,37.3,0.63,4.93
1981-05-20,0.11,39.1,52.0,65.0,39.1,1.05,12.88
1981-05-21,0.09,43.9,56.1,68.2,42.5,1.09,13.57
1981-05-22,0.23,42.5,54.7,66.8,37.4,1.49,15.53
1981-05-23,0.17,45.0,53.9,62.8,43.7,0.93,9.52
1981-05-24,0.00,35.2,49.2,63.1,40.6,0.23,11.32
1981-05-25,0.00,38.4,53.1,67.8,41.5,0.58,14.74
1981-05-26,0.00,45.8,59.0,72.3,46.4,1.14,16.93
1981-05-27,0.12,49.7,61.2,72.8,51.0,0.10,15.61
1981-05-28,0.00,44.9,58.0,71.1,49.8,0.23,14.23
1981-05-29,0.01,45.7,60.0,74.4,46.8,0.17,18.93
1981-05-30,0.00,39.2,53.1,66.9,43.2,0.81,12.76
1981-05-31,0.01,50.2,63.4,76.6,46.1,2.32,21.14
1981-06-01,0.00,44.1,61.6,79.0,46.6,1.00,23.69
1981-06-02,0.00,41.9,58.7,75.5,41.1,1.25,22.43
1981-06-03,0.08,47.1,61.9,76.7,44.0,1.96,22.31
1981-06-04,0.27,48.2,63.4,78.6,48.4,1.10,22.24
1981-06-05,0.00,46.7,61.5,76.3,45.8,0.86,21.27
1981-06-06,0.00,47.1,62.1,77.0,46.5,1.12,21.40
1981-06-07,0.03,52.4,70.3,88.1,48.5,1.98,35.13
1981-06-08,0.00,52.5,64.3,76.2,48.0,2.04,19.77
1981-06-09,0.00,52.8,66.4,80.0,46.8,1.90,24.54
1981-06-10,0.07,46.6,58.5,70.3,44.1,1.53,15.92
1981-06-11,0.00,49.2,61.6,74.0,46.7,1.44,18.27
1981-06-12,0.05,51.9,65.0,78.1,50.3,2.12,20.92
1981-06-13,0.01,50.9,68.9,86.9,47.1,1.67,33.98
1981-06-14,0.12,44.0,59.1,74.2,40.7,2.46,20.23
1981-06-15,0.00,39.7,51.1,62.6,33.3,1.95,13.14
1981-06-16,0.00,36.8,49.5,62.1,31.4,1.53,13.10
1981-06-17,0.00,44.7,61.7,78.6,33.1,3.27,27.52
1981-06-18,0.00,40.9,56.0,71.0,31.3,2.90,20.83
1981-06-19,0.00,44.3,58.9,73.5,35.1,3.48,21.35
1981-06-20,0.00,44.7,61.1,77.5,41.4,1.57,23.73
1981-06-21,0.00,48.7,64.1,79.5,43.8,1.75,25.44
1981-06-22,0.00,48.0,61.3,74.6,42.4,2.44,20.46
1981-06-23,0.00,50.5,66.9,83.4,41.9,3.52,31.71
1981-06-24,0.00,49.0,70.1,91.2,44.1,1.47,41.10
1981-06-25,0.00,48.9,66.0,83.2,44.4,1.90,29.46
1981-06-26,0.00,54.1,69.4,84.6,48.1,3.41,29.07
1981-06-27,0.00,57.8,75.6,93.5,51.1,3.65,41.85
1981-06-28,0.00,57.4,75.1,92.7,51.3,2.80,41.18
1981-06-29,0.00,50.1,62.4,74.8,50.0,1.61,17.06
1981-06-30,0.00,53.9,66.7,79.5,49.4,2.43,22.86
1981-07-01,0.00,59.3,76.0,92.6,49.2,4.80,41.70
1981-07-02,0.28,59.1,74.5,89.8,54.2,2.86,33.75
1981-07-03,0.00,52.8,64.1,75.4,53.1,1.49,16.65
1981-07-04,0.00,52.2,68.2,84.2,51.3,1.66,27.44
1981-07-05,0.00,54.8,73.0,91.2,47.1,3.77,40.12
1981-07-06,0.00,59.9,77.8,95.8,43.8,7.74,48.75
1981-07-07,0.00,61.9,81.4,101.0,47.1,7.14,57.93
1981-07-08,0.01,50.4,75.7,100.9,45.0,5.82,56.70
1981-07-09,0.00,49.5,64.9,80.2,34.4,4.91,28.61
1981-07-10,0.00,58.1,76.1,94.1,46.2,6.91,44.86
1981-07-11,0.00,60.0,78.6,97.2,48.5,5.86,49.15
1981-07-12,0.00,61.6,79.0,96.4,50.9,5.69,47.58
1981-07-13,1.06,61.2,72.9,84.5,56.4,2.94,25.45
1981-07-14,0.00,57.9,71.9,86.0,56.5,1.92,26.43
1981-07-15,0.00,55.3,71.2,87.0,47.8,3.09,33.68
1981-07-16,0.00,55.4,70.7,85.9,48.1,3.39,31.67
1981-07-17,0.00,56.9,72.0,87.0,49.4,3.44,34.37
1981-07-18,0.14,54.1,69.0,83.9,53.3,1.40,27.28
1981-07-19,0.13,53.3,69.2,85.0,52.7,1.84,27.94
1981-07-20,0.00,50.5,68.9,87.3,44.7,2.36,35.48
1981-07-21,0.00,55.5,73.4,91.3,41.9,5.07,42.92
1981-07-22,0.00,54.8,71.5,88.3,43.9,3.94,36.80
1981-07-23,0.16,50.6,68.1,85.5,47.0,2.07,31.24
1981-07-24,0.00,54.3,72.2,90.1,46.0,3.00,39.19
1981-07-25,0.23,52.2,67.2,82.2,50.2,1.52,25.88
1981-07-26,0.69,49.4,57.4,65.5,51.2,0.27,8.25
1981-07-27,0.15,48.3,54.8,61.3,50.6,0.23,5.01
1981-07-28,0.00,48.2,60.1,72.0,49.3,0.43,15.68
1981-07-29,0.00,52.8,69.1,85.3,47.8,1.75,31.69
1981-07-30,0.00,56.6,74.2,91.9,44.9,4.21,42.45
1981-07-31,0.00,53.5,73.5,93.5,44.6,3.91,44.67
1981-08-01,0.08,57.7,73.7,89.7,49.2,4.57,36.74
1981-08-02,0.00,57.9,73.7,89.5,48.9,5.13,36.68
1981-08-03,0.03,57.0,74.8,92.6,47.6,5.35,42.40
1981-08-04,0.00,58.1,73.6,89.0,51.7,3.36,34.38
1981-08-05,0.00,57.3,73.5,89.6,52.0,2.67,35.21
1981-08-06,0.49,53.1,70.1,87.1,50.7,2.16,32.16
1981-08-07,0.00,48.4,64.5,80.6,49.5,0.90,24.25
1981-08-08,0.00,49.3,65.0,80.6,43.2,2.45,26.85
1981-08-09,0.02,50.0,65.7,81.4,47.0,1.12,26.80
1981-08-10,0.02,46.2,60.3,74.4,49.1,0.40,16.76
1981-08-11,0.00,45.6,61.6,77.7,46.7,0.42,22.41
1981-08-12,0.00,48.0,65.7,83.5,46.5,1.46,29.47
1981-08-13,0.00,54.7,69.8,84.9,52.4,1.94,29.12
1981-08-14,0.00,55.2,69.4,83.6,52.8,0.93,27.34
1981-08-15,0.00,52.8,68.6,84.4,51.4,1.75,28.71
1981-08-16,0.01,52.6,69.4,86.1,51.8,1.61,30.35
1981-08-17,0.06,51.6,65.5,79.5,52.1,1.01,21.24
1981-08-18,0.00,51.8,66.3,80.9,51.1,1.41,23.89
1981-08-19,0.00,51.9,69.1,86.3,48.0,1.93,32.42
1981-08-20,0.00,52.5,72.1,91.7,46.4,3.19,41.29
1981-08-21,0.00,54.4,73.8,93.1,47.4,3.00,43.24
1981-08-22,0.06,53.8,71.0,88.3,49.8,2.61,34.33
1981-08-23,0.00,49.8,66.6,83.5,48.0,2.08,28.67
1981-08-24,0.00,49.6,67.5,85.4,45.4,2.18,32.77
1981-08-25,0.00,50.2,67.8,85.3,46.8,2.45,30.14
1981-08-26,0.00,50.5,68.4,86.2,46.6,2.12,32.76
1981-08-27,0.00,47.7,63.7,79.7,49.8,0.53,22.59
1981-08-28,0.00,48.8,63.9,79.0,47.7,1.68,22.82
1981-08-29,0.00,51.7,69.2,86.7,45.6,2.65,33.84
1981-08-30,0.00,53.5,72.4,91.3,44.7,3.91,41.51
1981-08-31,0.00,48.9,72.4,95.9,43.1,2.63,49.58
1981-09-01,0.00,38.5,54.7,70.8,39.0,1.34,17.98
1981-09-02,0.00,43.3,64.0,84.7,36.2,2.71,34.69
1981-09-03,0.00,48.5,64.8,81.0,39.0,3.20,28.38
1981-09-04,0.00,47.8,61.4,75.0,43.8,2.04,20.57
1981-09-05,0.00,49.5,67.1,84.7,44.8,2.69,31.73
1981-09-06,0.18,52.5,67.8,83.2,48.0,1.84,28.64
1981-09-07,0.00,44.0,55.9,67.9,47.0,0.83,11.89
1981-09-08,0.00,41.8,59.9,77.9,40.8,1.20,24.58
1981-09-09,0.00,43.7,64.1,84.5,40.4,1.98,32.69
1981-09-10,0.00,48.8,68.6,88.3,39.7,4.00,38.73
1981-09-11,0.00,46.4,67.6,88.8,39.4,3.25,39.14
1981-09-12,0.00,49.9,68.4,86.8,38.3,4.80,35.78
1981-09-13,0.00,49.9,70.5,91.0,37.5,4.94,42.64
1981-09-14,0.00,50.4,69.4,88.4,37.1,5.19,39.24
1981-09-15,0.00,44.4,61.7,79.0,39.6,1.99,25.92
1981-09-16,0.00,36.8,54.2,71.6,38.7,0.58,18.30
1981-09-17,0.00,34.1,51.6,69.1,31.9,1.53,18.17
1981-09-18,0.00,36.0,56.3,76.7,30.1,2.06,26.05
1981-09-19,0.00,39.5,62.9,86.2,27.2,3.47,38.04
1981-09-20,0.00,46.7,67.1,87.5,29.7,5.79,39.95
1981-09-21,0.00,43.6,58.2,72.7,32.5,3.65,21.33
1981-09-22,0.00,40.4,60.1,79.7,35.9,2.11,27.61
1981-09-23,0.00,42.3,58.0,73.6,35.6,2.39,21.09
1981-09-24,0.00,45.7,59.5,73.3,35.8,2.97,21.33
1981-09-25,0.00,49.1,60.4,71.8,43.5,2.78,17.50
1981-09-26,0.00,35.1,56.9,78.7,36.9,1.03,25.29
1981-09-27,0.00,30.9,47.4,64.0,25.0,1.40,16.41
1981-09-28,0.00,36.8,54.1,71.4,29.2,2.59,21.16
1981-09-29,0.00,41.5,63.0,84.5,30.7,2.85,35.36
1981-09-30,0.04,41.8,57.8,73.8,36.9,1.49,21.60
1981-10-01,0.00,28.7,45.2,61.6,31.9,0.55,12.65
1981-10-02,0.00,38.5,55.3,72.2,28.2,2.67,22.12
1981-10-03,0.00,50.2,66.3,82.5,38.6,4.87,31.47
1981-10-04,0.00,38.9,51.5,64.1,38.1,1.19,13.11
1981-10-05,0.01,38.5,50.3,62.2,38.0,0.90,11.59
1981-10-06,0.00,27.3,41.5,55.6,30.2,0.60,9.40
1981-10-07,0.00,29.9,49.3,68.6,33.0,0.81,17.85
1981-10-08,0.10,41.7,58.8,75.8,34.6,2.57,24.18
1981-10-09,0.01,30.0,47.4,64.9,36.8,0.62,13.07
1981-10-10,0.00,30.0,46.4,62.9,26.9,1.06,15.34
1981-10-11,0.00,39.1,55.1,71.0,32.9,2.43,20.77
1981-10-12,0.07,41.1,54.3,67.5,39.0,1.26,15.09
1981-10-13,0.18,31.9,44.7,57.6,32.2,0.74,9.43
1981-10-14,0.18,31.2,37.2,43.3,34.1,0.40,2.72
1981-10-15,0.00,32.6,40.2,47.9,35.2,0.34,3.96
1981-10-16,0.00,31.7,43.6,55.5,36.7,0.58,7.45
1981-10-17,0.00,35.4,44.5,53.6,34.6,0.79,6.35
1981-10-18,0.00,27.5,38.1,48.7,29.4,0.44,6.32
1981-10-19,0.00,31.0,43.7,56.4,26.8,1.35,10.58
1981-10-20,0.00,33.4,51.9,70.4,25.1,2.10,21.46
1981-10-21,0.21,26.7,36.0,45.3,25.5,0.76,4.98
1981-10-22,0.00,19.1,26.9,34.7,23.6,0.03,2.34
1981-10-23,0.00,17.6,27.7,37.9,19.2,0.32,4.09
1981-10-24,0.00,14.8,31.1,47.4,23.8,0.46,6.69
1981-10-25,0.00,22.2,31.1,40.0,27.7,0.26,3.21
1981-10-26,0.00,27.6,40.0,52.5,25.4,0.80,8.81
1981-10-27,0.00,33.7,49.8,65.9,28.7,2.01,16.33
1981-10-28,0.00,32.5,50.0,67.5,29.1,1.41,17.83
1981-10-29,0.00,36.5,53.6,70.7,29.7,2.12,20.57
1981-10-30,0.00,35.4,51.4,67.4,31.2,1.45,17.18
1981-10-31,0.00,23.9,37.6,51.4,27.1,0.50,8.28
1981-11-01,0.00,25.3,41.4,57.5,22.9,1.11,12.25
1981-11-02,0.00,29.7,46.7,63.7,28.0,1.21,14.30
1981-11-03,0.00,28.1,46.0,63.9,28.2,0.95,14.59
1981-11-04,0.00,29.2,46.4,63.6,30.0,0.87,14.01
1981-11-05,0.00,28.4,46.0,63.6,26.3,0.93,15.54
1981-11-06,0.00,23.6,38.3,52.9,24.5,0.67,9.04
1981-11-07,0.00,26.1,45.6,65.1,26.8,0.88,16.17
1981-11-08,0.00,28.9,46.1,63.4,26.4,1.33,15.21
1981-11-09,0.00,21.5,35.6,49.7,20.7,0.79,8.03
1981-11-10,0.00,23.6,42.6,61.5,22.0,1.00,14.60
1981-11-11,0.00,24.8,43.6,62.4,20.5,1.39,15.47
1981-11-12,0.00,25.2,43.8,62.5,20.3,1.53,15.47
1981-11-13,0.00,29.3,47.5,65.8,22.6,2.04,17.46
1981-11-14,0.00,33.3,49.4,65.5,26.3,2.19,16.49
1981-11-15,0.00,31.5,48.3,65.0,28.3,1.62,15.55
1981-11-16,0.00,32.0,43.9,55.7,24.3,2.01,10.99
1981-11-17,0.00,33.1,48.7,64.3,27.9,1.63,15.03
1981-11-18,0.08,32.9,49.1,65.2,23.6,1.75,17.46
1981-11-19,0.00,25.7,32.6,39.5,25.9,0.55,2.98
1981-11-20,0.00,17.4,26.3,35.3,18.9,0.43,3.09
1981-11-21,0.00,19.9,32.7,45.5,18.8,0.66,6.81
1981-11-22,0.00,27.1,38.8,50.5,24.1,1.34,8.15
1981-11-23,0.02,24.3,39.6,54.9,25.5,0.82,9.49
1981-11-24,0.00,23.9,34.9,46.0,23.3,0.80,6.60
1981-11-25,0.00,28.3,37.6,46.8,25.8,0.89,5.81
1981-11-26,0.00,15.9,28.0,40.0,20.3,0.44,3.76
1981-11-27,0.00,10.9,24.1,37.2,13.4,0.38,4.54
1981-11-28,0.02,13.0,24.8,36.6,16.1,0.27,3.99
1981-11-29,0.00,12.4,25.9,39.3,15.9,0.34,4.73
1981-11-30,0.00,13.8,28.3,42.7,17.4,0.42,6.08
1981-12-01,0.00,14.0,23.7,33.4,14.5,0.58,3.24
1981-12-02,0.00,17.1,26.8,36.6,16.1,0.80,3.99
1981-12-03,0.00,22.9,33.7,44.6,20.4,0.92,5.99
1981-12-04,0.00,10.9,23.3,35.7,12.9,0.47,4.25
1981-12-05,0.00,15.3,31.9,48.4,17.5,0.38,8.00
1981-12-06,0.00,23.2,39.4,55.5,18.7,1.31,11.65
1981-12-07,0.00,31.8,46.0,60.3,22.7,2.23,13.49
1981-12-08,0.00,25.5,39.8,54.0,22.5,1.07,9.77
1981-12-09,0.00,22.2,36.6,50.9,21.8,0.67,8.36
1981-12-10,0.00,21.5,37.6,53.7,21.0,0.71,9.91
1981-12-11,0.00,30.0,46.5,63.1,22.6,1.47,15.53
1981-12-12,0.00,17.0,30.1,43.2,21.6,0.34,5.16
1981-12-13,0.00,16.2,29.9,43.6,19.7,0.39,5.80
1981-12-14,0.00,12.5,20.1,27.7,15.9,0.27,1.49
1981-12-15,0.00,13.8,27.9,41.9,19.4,0.17,5.16
1981-12-16,0.21,14.3,23.8,33.3,21.7,0.13,2.05
1981-12-17,0.00,3.8,14.3,24.8,13.5,0.18,1.11
1981-12-18,0.00,-1.4,12.9,27.1,6.0,0.11,2.46
1981-12-19,0.00,-2.6,13.9,30.4,8.9,0.09,3.05
1981-12-20,0.00,13.5,29.2,44.9,23.1,0.26,4.83
1981-12-21,0.00,24.4,37.1,49.8,29.6,0.40,6.15
1981-12-22,0.00,17.1,27.9,38.6,19.8,0.51,3.91
1981-12-23,0.00,6.0,16.9,27.9,9.3,0.34,2.60
1981-12-24,0.00,5.2,14.5,23.9,3.1,0.45,2.46
1981-12-25,0.00,11.7,21.5,31.3,10.5,0.57,3.31
1981-12-26,0.00,11.6,22.3,33.0,14.9,0.15,3.18
1981-12-27,0.00,9.4,19.4,29.4,11.4,0.23,2.86
1981-12-28,0.00,5.9,15.8,25.6,6.2,0.40,2.28
1981-12-29,0.00,-1.4,11.1,23.6,2.5,0.25,2.38
1981-12-30,0.00,1.8,12.4,23.0,10.2,0.26,1.67
1981-12-31,0.21,4.1,16.9,29.6,15.3,0.32,1.71
1982-01-01,0.00,1.9,14.3,26.8,4.8,0.25,2.99
1982-01-02,0.00,3.2,18.1,32.9,12.9,0.21,2.77
1982-01-03,0.00,2.9,15.0,27.1,3.9,0.34,3.01
1982-01-04,0.00,5.4,16.2,27.1,1.8,0.46,3.32
1982-01-05,0.00,10.2,23.2,36.1,11.5,0.69,4.36
1982-01-06,0.13,-2.5,8.1,18.8,5.8,0.32,1.02
1982-01-07,0.00,-11.2,-1.5,8.2,-10.5,0.27,1.11
1982-01-08,0.00,-6.2,9.1,24.3,-1.9,0.34,2.69
1982-01-09,0.00,7.2,21.6,36.0,11.3,0.52,3.97
1982-01-10,0.00,-13.3,4.6,22.4,3.0,0.12,2.01
1982-01-11,0.00,-11.7,-2.3,7.1,-8.7,0.23,0.86
1982-01-12,0.00,-8.4,6.4,21.1,4.9,0.29,1.89
1982-01-13,0.00,-6.3,7.4,21.1,3.7,0.07,1.52
1982-01-14,0.00,14.0,23.4,32.9,13.0,0.64,2.91
1982-01-15,0.00,10.7,24.4,38.0,18.4,0.72,3.60
1982-01-16,0.00,-17.4,-2.1,13.2,-4.7,0.18,0.92
1982-01-17,0.00,-10.8,12.9,36.6,1.1,0.41,4.33
