Transect,Point,Easting,Northing,Veg_date,pt_year,Year,direction,Low_cm,High_cm,vor_reading_pct
C10,C10.1,499854,4819233,2019-06-17,C10.1_2019,2019,45.0,11.23076923076923,27.23076923076923,0.9285714285714286
C10,C10.2,500031,4819056,2015-07-12,C10.2_2015,2015,225.0,3.272727272727273,13.0,0.7857142857142857
C10,C10.2,500031,4819056,2016-06-30,C10.2_2016,2016,225.0,0.7,3.4,0.7142857142857143
C10,C10.2,500031,4819056,2017-06-30,C10.2_2017,2017,225.0,2.2142857142857144,6.428571428571429,1.0
C10,C10.2,500031,4819056,2018-07-01,C10.2_2018,2018,,4.928571428571429,18.5,1.0
C10,C10.2,500031,4819056,2019-06-17,C10.2_2019,2019,225.0,3.6153846153846154,23.307692307692307,0.9285714285714286
C10,C10.3,500208,4818880,2015-07-12,C10.3_2015,2015,45.0,1.0714285714285714,9.357142857142858,1.0
C10,C10.3,500208,4818880,2016-06-30,C10.3_2016,2016,45.0,0.42857142857142855,4.071428571428571,1.0
C10,C10.3,500208,4818880,2017-06-30,C10.3_2017,2017,45.0,2.4285714285714284,9.142857142857142,1.0
C10,C10.3,500208,4818880,2018-07-01,C10.3_2018,2018,,3.7857142857142856,24.5,1.0
C10,C10.3,500208,4818880,2019-06-17,C10.3_2019,2019,45.0,5.5,26.642857142857142,1.0
C10,C10.4,500385,4818703,2015-07-12,C10.4_2015,2015,225.0,1.0,4.857142857142857,1.0
C10,C10.4,500385,4818703,2016-06-30,C10.4_2016,2016,225.0,0.38461538461538464,2.3846153846153846,0.9285714285714286
C10,C10.4,500385,4818703,2017-06-30,C10.4_2017,2017,225.0,1.9285714285714286,3.7142857142857144,1.0
C10,C10.4,500385,4818703,2018-07-01,C10.4_2018,2018,,3.142857142857143,13.0,1.0
C10,C10.4,500385,4818703,2019-06-17,C10.4_2019,2019,225.0,4.214285714285714,27.142857142857142,1.0
C10,C10.5,500561,4818526,2015-07-12,C10.5_2015,2015,45.0,0.9166666666666666,7.916666666666667,0.8571428571428571
C10,C10.5,500561,4818526,2016-06-30,C10.5_2016,2016,45.0,0.42857142857142855,3.357142857142857,1.0
C10,C10.5,500561,4818526,2017-06-30,C10.5_2017,2017,45.0,1.5714285714285714,5.285714285714286,1.0
C10,C10.5,500561,4818526,2018-07-01,C10.5_2018,2018,,5.642857142857143,27.214285714285715,1.0
C10,C10.5,500561,4818526,2019-06-17,C10.5_2019,2019,45.0,8.571428571428571,28.642857142857142,1.0
C10,C10.6,500738,4818349,2015-07-12,C10.6_2015,2015,225.0,0.8571428571428571,7.928571428571429,1.0
C10,C10.6,500738,4818349,2016-06-30,C10.6_2016,2016,225.0,1.25,6.0,0.8571428571428571
C10,C10.6,500738,4818349,2017-06-30,C10.6_2017,2017,225.0,1.6923076923076923,5.923076923076923,0.9285714285714286
C10,C10.6,500738,4818349,2018-07-01,C10.6_2018,2018,,7.428571428571429,41.285714285714285,1.0
C10,C10.6,500738,4818349,2019-06-19,C10.6_2019,2019,,14.571428571428571,35.714285714285715,1.0
C10,C10.7,500915,4818173,2015-07-15,C10.7_2015,2015,45.0,2.2857142857142856,11.857142857142858,1.0
C10,C10.7,500915,4818173,2016-06-30,C10.7_2016,2016,45.0,0.8571428571428571,4.714285714285714,1.0
C10,C10.7,500915,4818173,2017-06-30,C10.7_2017,2017,45.0,1.7857142857142858,6.785714285714286,1.0
C10,C10.7,500915,4818173,2018-07-01,C10.7_2018,2018,,10.357142857142858,37.07142857142857,1.0
C10,C10.7,500915,4818173,2019-06-17,C10.7_2019,2019,45.0,18.23076923076923,32.53846153846154,0.9285714285714286
C10,C10.8,501092,4817996,2015-07-17,C10.8_2015,2015,225.0,2.0,12.076923076923077,0.9285714285714286
C10,C10.8,501092,4817996,2016-06-30,C10.8_2016,2016,225.0,0.16666666666666666,1.1666666666666667,0.8571428571428571
C10,C10.8,501092,4817996,2017-06-30,C10.8_2017,2017,225.0,1.5,3.1,0.7142857142857143
C10,C10.8,501092,4817996,2018-07-01,C10.8_2018,2018,,7.857142857142857,32.142857142857146,1.0
C10,C10.8,501092,4817996,2019-06-17,C10.8_2019,2019,225.0,13.076923076923077,29.0,0.9285714285714286
C2,C2.1,488897,4812373,2015-06-15,C2.1_2015,2015,180.0,1.7857142857142858,8.571428571428571,1.0
C2,C2.1,488897,4812373,2016-08-08,C2.1_2016,2016,180.0,0.7142857142857143,2.5,1.0
C2,C2.1,488897,4812373,2017-07-06,C2.1_2017,2017,180.0,1.5714285714285714,11.357142857142858,1.0
C2,C2.1,488897,4812373,2018-07-01,C2.1_2018,2018,,9.357142857142858,52.07142857142857,1.0
C2,C2.1,488897,4812373,2019-07-24,C2.1_2019,2019,,5.0,29.428571428571427,1.0
C2,C2.2,489147,4812373,2015-06-15,C2.2_2015,2015,0.0,0.7857142857142857,7.214285714285714,1.0
C2,C2.2,489147,4812373,2016-08-08,C2.2_2016,2016,0.0,0.14285714285714285,0.7857142857142857,1.0
C2,C2.2,489147,4812373,2017-07-06,C2.2_2017,2017,0.0,0.5,12.714285714285714,1.0
C2,C2.2,489147,4812373,2018-07-01,C2.2_2018,2018,,5.571428571428571,38.0,1.0
C2,C2.2,489147,4812373,2019-07-24,C2.2_2019,2019,,4.071428571428571,22.428571428571427,1.0
C2,C2.3,489397,4812373,2015-06-15,C2.3_2015,2015,180.0,0.14285714285714285,0.5,1.0
C2,C2.3,489397,4812373,2016-08-08,C2.3_2016,2016,180.0,1.5714285714285714,4.357142857142857,1.0
C2,C2.3,489397,4812373,2017-07-06,C2.3_2017,2017,180.0,1.2142857142857142,8.571428571428571,1.0
C2,C2.3,489397,4812373,2018-07-01,C2.3_2018,2018,,4.642857142857143,27.428571428571427,1.0
C2,C2.3,489397,4812373,2019-07-24,C2.3_2019,2019,,2.857142857142857,21.214285714285715,1.0
C2,C2.4,489647,4812373,2015-06-15,C2.4_2015,2015,0.0,1.0,4.428571428571429,1.0
C2,C2.4,489647,4812373,2016-08-08,C2.4_2016,2016,0.0,0.7857142857142857,4.5,1.0
C2,C2.4,489647,4812373,2017-07-06,C2.4_2017,2017,0.0,3.4285714285714284,11.214285714285714,1.0
C2,C2.4,489647,4812373,2018-07-01,C2.4_2018,2018,,4.428571428571429,25.785714285714285,1.0
C2,C2.4,489647,4812373,2019-07-24,C2.4_2019,2019,,3.2142857142857144,28.785714285714285,1.0
C2,C2.5,489897,4812373,2015-06-15,C2.5_2015,2015,180.0,4.285714285714286,7.642857142857143,1.0
C2,C2.5,489897,4812373,2016-08-08,C2.5_2016,2016,180.0,0.7142857142857143,2.2142857142857144,1.0
C2,C2.5,489897,4812373,2017-07-06,C2.5_2017,2017,180.0,1.4285714285714286,8.071428571428571,1.0
C2,C2.5,489897,4812373,2018-07-01,C2.5_2018,2018,,4.142857142857143,24.071428571428573,1.0
C2,C2.5,489897,4812373,2019-07-24,C2.5_2019,2019,,3.4285714285714284,21.785714285714285,1.0
C2,C2.6,490147,4812373,2015-06-15,C2.6_2015,2015,0.0,0.6428571428571429,3.142857142857143,1.0
C2,C2.6,490147,4812373,2016-08-08,C2.6_2016,2016,0.0,4.357142857142857,10.071428571428571,1.0
C2,C2.6,490147,4812373,2017-07-06,C2.6_2017,2017,0.0,4.142857142857143,13.428571428571429,1.0
C2,C2.6,490147,4812373,2018-07-01,C2.6_2018,2018,,7.642857142857143,32.714285714285715,1.0
C2,C2.6,490147,4812373,2019-07-24,C2.6_2019,2019,,10.428571428571429,32.42857142857143,1.0
C2,C2.7,490397,4812373,2015-06-15,C2.7_2015,2015,180.0,0.6428571428571429,3.2857142857142856,1.0
C2,C2.7,490397,4812373,2016-08-08,C2.7_2016,2016,180.0,0.38461538461538464,4.384615384615385,0.9285714285714286
C2,C2.7,490397,4812373,2017-07-06,C2.7_2017,2017,180.0,0.5714285714285714,9.142857142857142,1.0
C2,C2.7,490397,4812373,2018-07-01,C2.7_2018,2018,,2.230769230769231,17.307692307692307,0.9285714285714286
C2,C2.7,490397,4812373,2019-07-24,C2.7_2019,2019,,0.46153846153846156,7.769230769230769,0.9285714285714286
C2,C2.8,490647,4812373,2015-06-15,C2.8_2015,2015,0.0,4.428571428571429,10.5,1.0
C2,C2.8,490647,4812373,2016-08-08,C2.8_2016,2016,0.0,0.7142857142857143,4.285714285714286,1.0
C2,C2.8,490647,4812373,2017-07-06,C2.8_2017,2017,0.0,0.7142857142857143,9.642857142857142,1.0
C2,C2.8,490647,4812373,2018-07-01,C2.8_2018,2018,,3.2857142857142856,12.0,1.0
C2,C2.8,490647,4812373,2019-07-24,C2.8_2019,2019,,0.21428571428571427,3.7142857142857144,1.0
C3,C3.1,491672,4813295,2015-07-22,C3.1_2015,2015,40.0,1.6153846153846154,10.384615384615385,0.9285714285714286
C3,C3.1,491672,4813295,2016-08-08,C3.1_2016,2016,40.0,0.5,2.4166666666666665,0.8571428571428571
C3,C3.1,491672,4813295,2017-08-01,C3.1_2017,2017,40.0,2.0714285714285716,8.5,1.0
C3,C3.1,491672,4813295,2018-07-01,C3.1_2018,2018,,3.857142857142857,8.714285714285714,1.0
C3,C3.1,491672,4813295,2019-07-30,C3.1_2019,2019,,3.357142857142857,9.285714285714286,1.0
C3,C3.2,491849,4813118,2015-07-22,C3.2_2015,2015,220.0,3.9285714285714284,12.642857142857142,1.0
C3,C3.2,491849,4813118,2016-08-08,C3.2_2016,2016,220.0,0.14285714285714285,2.0714285714285716,1.0
C3,C3.2,491849,4813118,2017-08-01,C3.2_2017,2017,220.0,1.6428571428571428,6.714285714285714,1.0
C3,C3.2,491849,4813118,2018-07-01,C3.2_2018,2018,,6.928571428571429,21.071428571428573,1.0
C3,C3.2,491849,4813118,2019-07-30,C3.2_2019,2019,,6.857142857142857,25.142857142857142,1.0
C3,C3.3,492026,4812941,2015-07-22,C3.3_2015,2015,40.0,4.714285714285714,16.857142857142858,1.0
C3,C3.3,492026,4812941,2016-08-08,C3.3_2016,2016,40.0,1.5714285714285714,6.142857142857143,1.0
C3,C3.3,492026,4812941,2017-08-01,C3.3_2017,2017,40.0,7.5,22.214285714285715,1.0
C3,C3.3,492026,4812941,2018-07-01,C3.3_2018,2018,,6.642857142857143,22.142857142857142,1.0
C3,C3.3,492026,4812941,2019-07-30,C3.3_2019,2019,,4.153846153846154,22.384615384615383,0.9285714285714286
C3,C3.4,492203,4812765,2015-07-22,C3.4_2015,2015,220.0,4.090909090909091,11.545454545454545,0.7857142857142857
C3,C3.4,492203,4812765,2016-08-08,C3.4_2016,2016,220.0,0.6666666666666666,3.3333333333333335,0.8571428571428571
C3,C3.4,492203,4812765,2017-08-01,C3.4_2017,2017,220.0,0.9285714285714286,8.071428571428571,1.0
C3,C3.4,492203,4812765,2018-07-01,C3.4_2018,2018,,2.5714285714285716,18.928571428571427,1.0
C3,C3.4,492203,4812765,2019-07-30,C3.4_2019,2019,,1.8333333333333333,11.0,1.0
C3,C3.5,492379,4812588,2015-07-22,C3.5_2015,2015,40.0,2.3846153846153846,13.461538461538462,0.9285714285714286
C3,C3.5,492379,4812588,2016-08-08,C3.5_2016,2016,40.0,0.23076923076923078,7.384615384615385,0.9285714285714286
C3,C3.5,492379,4812588,2017-08-01,C3.5_2017,2017,40.0,1.2307692307692308,17.307692307692307,0.9285714285714286
C3,C3.5,492379,4812588,2018-07-01,C3.5_2018,2018,,10.428571428571429,39.5,1.0
C3,C3.5,492379,4812588,2019-07-24,C3.5_2019,2019,,6.3076923076923075,21.846153846153847,0.9285714285714286
C3,C3.6,492556,4812411,2015-07-22,C3.6_2015,2015,220.0,3.5384615384615383,18.0,0.9285714285714286
C3,C3.6,492556,4812411,2016-08-08,C3.6_2016,2016,220.0,1.0714285714285714,13.142857142857142,1.0
C3,C3.6,492556,4812411,2017-08-01,C3.6_2017,2017,220.0,4.0,23.0,1.0
C3,C3.6,492556,4812411,2018-07-01,C3.6_2018,2018,,6.928571428571429,26.642857142857142,1.0
C3,C3.6,492556,4812411,2019-07-24,C3.6_2019,2019,,1.8571428571428572,22.071428571428573,1.0
C3,C3.7,492733,4812234,2015-07-22,C3.7_2015,2015,40.0,3.357142857142857,10.5,1.0
C3,C3.7,492733,4812234,2016-08-08,C3.7_2016,2016,40.0,1.0,6.071428571428571,1.0
C3,C3.7,492733,4812234,2017-08-01,C3.7_2017,2017,40.0,3.357142857142857,9.214285714285714,1.0
C3,C3.7,492733,4812234,2018-07-01,C3.7_2018,2018,,6.357142857142857,32.07142857142857,1.0
C3,C3.7,492733,4812234,2019-07-24,C3.7_2019,2019,,0.5714285714285714,16.857142857142858,1.0
C3,C3.8,492910,4812058,2015-07-22,C3.8_2015,2015,220.0,2.7857142857142856,9.571428571428571,1.0
C3,C3.8,492910,4812058,2016-08-08,C3.8_2016,2016,220.0,0.0,1.2307692307692308,0.9285714285714286
C3,C3.8,492910,4812058,2017-08-01,C3.8_2017,2017,220.0,0.5714285714285714,4.928571428571429,1.0
C3,C3.8,492910,4812058,2018-07-01,C3.8_2018,2018,,1.5714285714285714,14.642857142857142,1.0
C3,C3.8,492910,4812058,2019-07-24,C3.8_2019,2019,,4.0,21.0,1.0
C4,C4.1,494388,4810530,2015-07-07,C4.1_2015,2015,270.0,1.6428571428571428,8.714285714285714,1.0
C4,C4.1,494388,4810530,2016-07-13,C4.1_2016,2016,270.0,0.6153846153846154,3.1538461538461537,0.9285714285714286
C4,C4.1,494388,4810530,2017-07-16,C4.1_2017,2017,270.0,0.0,3.142857142857143,1.0
C4,C4.1,494388,4810530,2018-07-01,C4.1_2018,2018,,3.7857142857142856,18.571428571428573,1.0
C4,C4.1,494388,4810530,2019-06-16,C4.1_2019,2019,270.0,1.0,26.333333333333332,0.8571428571428571
C4,C4.2,494388,4810780,2015-07-07,C4.2_2015,2015,90.0,0.45454545454545453,4.7272727272727275,0.7857142857142857
C4,C4.2,494388,4810780,2016-07-13,C4.2_2016,2016,90.0,0.38461538461538464,1.6153846153846154,0.9285714285714286
C4,C4.2,494388,4810780,2017-07-16,C4.2_2017,2017,90.0,0.9166666666666666,3.1666666666666665,0.8571428571428571
C4,C4.2,494388,4810780,2018-07-01,C4.2_2018,2018,,11.857142857142858,33.714285714285715,1.0
C4,C4.2,494388,4810780,2019-06-16,C4.2_2019,2019,90.0,4.285714285714286,17.285714285714285,1.0
C4,C4.3,494388,4811030,2015-07-07,C4.3_2015,2015,270.0,0.5,2.9285714285714284,1.0
C4,C4.3,494388,4811030,2016-07-13,C4.3_2016,2016,270.0,0.2857142857142857,0.42857142857142855,1.0
C4,C4.3,494388,4811030,2017-07-16,C4.3_2017,2017,270.0,1.2857142857142858,3.642857142857143,1.0
C4,C4.3,494388,4811030,2018-07-01,C4.3_2018,2018,,6.928571428571429,21.642857142857142,1.0
C4,C4.3,494388,4811030,2019-06-16,C4.3_2019,2019,270.0,1.6428571428571428,20.714285714285715,1.0
C4,C4.4,494388,4811280,2015-07-07,C4.4_2015,2015,90.0,0.5833333333333334,10.833333333333334,0.8571428571428571
C4,C4.4,494388,4811280,2016-07-13,C4.4_2016,2016,90.0,0.09090909090909091,3.8181818181818183,0.7857142857142857
C4,C4.4,494388,4811280,2017-07-16,C4.4_2017,2017,90.0,1.0769230769230769,4.615384615384615,0.9285714285714286
C4,C4.4,494388,4811280,2018-07-01,C4.4_2018,2018,,3.1538461538461537,25.0,0.9285714285714286
C4,C4.4,494388,4811280,2019-06-16,C4.4_2019,2019,90.0,1.2222222222222223,26.555555555555557,0.6428571428571429
C4,C4.5,494388,4811530,2015-07-06,C4.5_2015,2015,270.0,0.3333333333333333,1.5833333333333333,0.8571428571428571
C4,C4.5,494388,4811530,2016-07-13,C4.5_2016,2016,270.0,0.9285714285714286,1.7142857142857142,1.0
C4,C4.5,494388,4811530,2017-07-16,C4.5_2017,2017,270.0,2.0,5.285714285714286,1.0
C4,C4.5,494388,4811530,2018-07-01,C4.5_2018,2018,,25.142857142857142,40.07142857142857,1.0
C4,C4.5,494388,4811530,2019-06-16,C4.5_2019,2019,270.0,1.5,18.785714285714285,1.0
C4,C4.6,494388,4811780,2015-07-06,C4.6_2015,2015,90.0,2.2857142857142856,8.071428571428571,1.0
C4,C4.6,494388,4811780,2016-07-13,C4.6_2016,2016,90.0,0.07142857142857142,1.7142857142857142,1.0
C4,C4.6,494388,4811780,2017-07-16,C4.6_2017,2017,90.0,0.2857142857142857,0.5714285714285714,1.0
C4,C4.6,494388,4811780,2018-07-01,C4.6_2018,2018,,9.642857142857142,26.071428571428573,1.0
C4,C4.6,494388,4811780,2019-06-16,C4.6_2019,2019,90.0,0.7857142857142857,12.928571428571429,1.0
C4,C4.7,494388,4812030,2015-07-06,C4.7_2015,2015,270.0,1.0,6.5,0.5714285714285714
C4,C4.7,494388,4812030,2016-07-13,C4.7_2016,2016,270.0,0.4166666666666667,3.3333333333333335,0.8571428571428571
C4,C4.7,494388,4812030,2017-07-16,C4.7_2017,2017,270.0,0.0,0.3333333333333333,0.8571428571428571
C4,C4.7,494388,4812030,2018-07-01,C4.7_2018,2018,,4.153846153846154,15.461538461538462,0.9285714285714286
C4,C4.7,494388,4812030,2019-06-16,C4.7_2019,2019,270.0,0.45454545454545453,8.0,0.7857142857142857
C4,C4.8,494388,4812280,2017-07-16,C4.8_2017,2017,90.0,2.25,9.833333333333334,0.8571428571428571
C4,C4.8,494388,4812280,2018-07-01,C4.8_2018,2018,,5.2,25.9,0.7142857142857143
C4,C4.8,494388,4812280,2019-06-16,C4.8_2019,2019,90.0,0.9285714285714286,18.357142857142858,1.0
C5,C5.1,498895,4810244,2015-07-20,C5.1_2015,2015,315.0,3.357142857142857,20.214285714285715,1.0
C5,C5.1,498895,4810244,2016-08-04,C5.1_2016,2016,315.0,0.9285714285714286,7.071428571428571,1.0
C5,C5.1,498895,4810244,2017-06-29,C5.1_2017,2017,315.0,0.7142857142857143,9.642857142857142,1.0
C5,C5.1,498895,4810244,2018-07-01,C5.1_2018,2018,,2.2857142857142856,21.214285714285715,1.0
C5,C5.1,498895,4810244,2019-06-12,C5.1_2019,2019,315.0,5.384615384615385,13.615384615384615,0.9285714285714286
C5,C5.2,499071,4810420,2015-07-20,C5.2_2015,2015,135.0,3.75,17.0,0.8571428571428571
C5,C5.2,499071,4810420,2016-08-04,C5.2_2016,2016,135.0,0.8333333333333334,3.9166666666666665,0.8571428571428571
C5,C5.2,499071,4810420,2017-06-29,C5.2_2017,2017,135.0,1.0769230769230769,6.153846153846154,0.9285714285714286
C5,C5.2,499071,4810420,2018-07-01,C5.2_2018,2018,,3.642857142857143,28.857142857142858,1.0
C5,C5.2,499071,4810420,2019-06-12,C5.2_2019,2019,135.0,2.4166666666666665,10.333333333333334,0.8571428571428571
C5,C5.3,499248,4810597,2015-07-20,C5.3_2015,2015,315.0,2.0714285714285716,6.785714285714286,1.0
C5,C5.3,499248,4810597,2016-08-04,C5.3_2016,2016,315.0,0.5,2.0714285714285716,1.0
C5,C5.3,499248,4810597,2017-06-29,C5.3_2017,2017,315.0,0.21428571428571427,2.5,1.0
C5,C5.3,499248,4810597,2018-07-01,C5.3_2018,2018,,3.7142857142857144,35.285714285714285,1.0
C5,C5.3,499248,4810597,2019-06-12,C5.3_2019,2019,315.0,7.0,18.571428571428573,1.0
C5,C5.4,499425,4810774,2015-07-20,C5.4_2015,2015,135.0,2.142857142857143,8.214285714285714,1.0
C5,C5.4,499425,4810774,2016-08-04,C5.4_2016,2016,135.0,0.14285714285714285,2.642857142857143,1.0
C5,C5.4,499425,4810774,2017-06-29,C5.4_2017,2017,135.0,0.5714285714285714,6.714285714285714,1.0
C5,C5.4,499425,4810774,2018-07-01,C5.4_2018,2018,,2.9285714285714284,14.142857142857142,1.0
C5,C5.4,499425,4810774,2019-06-12,C5.4_2019,2019,135.0,2.923076923076923,18.76923076923077,0.9285714285714286
C5,C5.5,499602,4810951,2015-07-20,C5.5_2015,2015,315.0,2.9285714285714284,7.857142857142857,1.0
C5,C5.5,499602,4810951,2016-08-04,C5.5_2016,2016,315.0,0.6153846153846154,3.6923076923076925,0.9285714285714286
C5,C5.5,499602,4810951,2017-06-29,C5.5_2017,2017,315.0,0.46153846153846156,5.384615384615385,0.9285714285714286
C5,C5.5,499602,4810951,2018-07-01,C5.5_2018,2018,,7.714285714285714,30.142857142857142,1.0
C5,C5.5,499602,4810951,2019-06-12,C5.5_2019,2019,315.0,3.0714285714285716,19.357142857142858,1.0
C5,C5.6,499779,4811128,2015-07-20,C5.6_2015,2015,135.0,3.2222222222222223,13.555555555555555,0.6428571428571429
C5,C5.6,499779,4811128,2016-08-04,C5.6_2016,2016,135.0,0.4,4.7,0.7142857142857143
C5,C5.6,499779,4811128,2017-06-29,C5.6_2017,2017,135.0,0.1,4.5,0.7142857142857143
C5,C5.6,499779,4811128,2018-07-01,C5.6_2018,2018,,6.909090909090909,36.27272727272727,0.7857142857142857
C5,C5.6,499779,4811128,2019-06-12,C5.6_2019,2019,135.0,5.142857142857143,28.785714285714285,1.0
C5,C5.7,499955,4811304,2016-08-04,C5.7_2016,2016,315.0,0.08333333333333333,3.0,0.8571428571428571
C5,C5.7,499955,4811304,2017-06-29,C5.7_2017,2017,315.0,0.6666666666666666,6.0,0.6428571428571429
C5,C5.7,499955,4811304,2018-07-01,C5.7_2018,2018,,5.230769230769231,22.307692307692307,0.9285714285714286
C5,C5.7,499955,4811304,2019-06-12,C5.7_2019,2019,315.0,4.642857142857143,19.214285714285715,1.0
C5,C5.8,500132,4811481,2015-07-20,C5.8_2015,2015,135.0,2.125,13.0,0.5714285714285714
C5,C5.8,500132,4811481,2018-07-01,C5.8_2018,2018,,4.111111111111111,23.0,0.6428571428571429
C5,C5.8,500132,4811481,2019-06-12,C5.8_2019,2019,135.0,3.0,22.384615384615383,0.9285714285714286
C6,C6.1,501670,4811395,2015-07-28,C6.1_2015,2015,270.0,0.9285714285714286,4.642857142857143,1.0
C6,C6.1,501670,4811395,2016-07-25,C6.1_2016,2016,270.0,0.5,2.0,0.8571428571428571
C6,C6.1,501670,4811395,2017-07-30,C6.1_2017,2017,270.0,0.21428571428571427,4.214285714285714,1.0
C6,C6.1,501670,4811395,2018-07-01,C6.1_2018,2018,,1.7142857142857142,13.571428571428571,1.0
C6,C6.1,501670,4811395,2019-07-24,C6.1_2019,2019,,7.428571428571429,27.071428571428573,1.0
C6,C6.2,501670,4811645,2015-07-28,C6.2_2015,2015,90.0,0.6428571428571429,5.857142857142857,1.0
C6,C6.2,501670,4811645,2016-07-25,C6.2_2016,2016,90.0,0.2857142857142857,2.2142857142857144,1.0
C6,C6.2,501670,4811645,2017-07-30,C6.2_2017,2017,90.0,0.7142857142857143,5.928571428571429,1.0
C6,C6.2,501670,4811645,2018-07-01,C6.2_2018,2018,,2.4285714285714284,17.285714285714285,1.0
C6,C6.2,501670,4811645,2019-07-24,C6.2_2019,2019,,5.071428571428571,41.42857142857143,1.0
